dataset,geometry,template,object,signature,stage,observed,null_median,effect,exceedances,p_value,replicates,exact_tail_probability
BNCI2014_001,AIRM,session_specific,Z,sensor,I,0.77304114293468351,-0.18314568637672654,0.95618682931141008,0,7.4908050368173067e-06,133496,0
BNCI2014_001,AIRM,session_specific,Z,spectrum,I,0.95427121814899929,0.63616327605021628,0.31810794209878301,0,7.4908050368173067e-06,133496,0
BNCI2014_001,AIRM,session_specific,R,sensor,I,0.7730313197578752,-0.1831439051855801,0.9561752249434553,0,7.4908050368173067e-06,133496,0
BNCI2014_001,AIRM,session_specific,R,spectrum,I,0.9543035889512802,0.63619237930850281,0.31811120964277739,0,7.4908050368173067e-06,133496,0
BNCI2014_001,AIRM,pooled_session,Z,sensor,I,0.79530402933938849,-0.19040401106339136,0.98570804040277982,0,7.4908050368173067e-06,133496,0
BNCI2014_001,AIRM,pooled_session,Z,spectrum,I,0.96519917328827409,0.62571783050722152,0.33948134278105258,0,7.4908050368173067e-06,133496,0
BNCI2014_001,AIRM,pooled_session,R,sensor,I,0.79530000318792182,-0.19040291004654786,0.98570291323446968,0,7.4908050368173067e-06,133496,0
BNCI2014_001,AIRM,pooled_session,R,spectrum,I,0.96515845321853821,0.62577260245276523,0.33938585076577299,0,7.4908050368173067e-06,133496,0
BNCI2014_001,LE,session_specific,Z,sensor,I,0.77994394621451824,-0.1351793610469007,0.91512330726141888,0,7.4908050368173067e-06,133496,0
BNCI2014_001,LE,session_specific,Z,spectrum,I,0.94791632968297268,0.54918899570073165,0.39872733398224103,0,7.4908050368173067e-06,133496,0
BNCI2014_001,LE,session_specific,R,sensor,I,0.77994394621451879,-0.13517936104690059,0.91512330726141933,0,7.4908050368173067e-06,133496,0
BNCI2014_001,LE,session_specific,R,spectrum,I,0.9479163296829709,0.54918899570074087,0.39872733398223004,0,7.4908050368173067e-06,133496,0
BNCI2014_001,LE,pooled_session,Z,sensor,I,0.80204884012334388,-0.15547442970347747,0.95752326982682134,0,7.4908050368173067e-06,133496,0
BNCI2014_001,LE,pooled_session,Z,spectrum,I,0.9605954171740213,0.56999459314651979,0.39060082402750151,0,7.4908050368173067e-06,133496,0
BNCI2014_001,LE,pooled_session,R,sensor,I,0.80204884012334388,-0.15547442970347713,0.95752326982682101,0,7.4908050368173067e-06,133496,0
BNCI2014_001,LE,pooled_session,R,spectrum,I,0.96059541717401975,0.56999459314653034,0.39060082402748941,0,7.4908050368173067e-06,133496,0
