dataset,geometry,template,object,signature,stage,observed,null_median,effect,exceedances,p_value,replicates
OpenBMI,AIRM,session_specific,Z,sensor,I,0.33966986921013087,0.0240363936878519,0.31563347552227899,0,9.9999000009999908e-06,100000
OpenBMI,AIRM,session_specific,Z,spectrum,I,0.91390609408616319,0.88047414235012722,0.03343195173603597,3390,0.033909660903390967,100000
OpenBMI,AIRM,session_specific,R,sensor,I,0.33966190829209009,0.0240380045626911,0.31562390372939897,0,9.9999000009999908e-06,100000
OpenBMI,AIRM,session_specific,R,spectrum,I,0.91390520186318513,0.88047286133018732,0.033432340532997817,3391,0.033919660803391968,100000
OpenBMI,AIRM,pooled_session,Z,sensor,I,0.36238972094623667,0.014941104590043622,0.34744861635619306,0,9.9999000009999908e-06,100000
OpenBMI,AIRM,pooled_session,Z,spectrum,I,0.92275939198073909,0.87915147611904154,0.043607915861697544,717,0.0071799282007179929,100000
OpenBMI,AIRM,pooled_session,R,sensor,I,0.36237965893728241,0.014942636799749127,0.3474370221375333,0,9.9999000009999908e-06,100000
OpenBMI,AIRM,pooled_session,R,spectrum,I,0.92275954685867601,0.87915265967552658,0.043606887183149423,717,0.0071799282007179929,100000
OpenBMI,LE,session_specific,Z,sensor,I,0.33172205751292572,0.021467956198527507,0.31025410131439823,0,9.9999000009999908e-06,100000
OpenBMI,LE,session_specific,Z,spectrum,I,0.90289818007259726,0.87076330933392643,0.032134870738670829,4598,0.045989540104598957,100000
OpenBMI,LE,session_specific,R,sensor,I,0.33172205751292572,0.021467956198527514,0.31025410131439818,0,9.9999000009999908e-06,100000
OpenBMI,LE,session_specific,R,spectrum,I,0.90289818007259748,0.87076330933392676,0.032134870738670718,4598,0.045989540104598957,100000
OpenBMI,LE,pooled_session,Z,sensor,I,0.34503398268725927,0.01669006929010312,0.32834391339715613,0,9.9999000009999908e-06,100000
OpenBMI,LE,pooled_session,Z,spectrum,I,0.90425137975215342,0.87023235715690095,0.034019022595252468,5133,0.051339486605133947,100000
OpenBMI,LE,pooled_session,R,sensor,I,0.34503398268725938,0.016690069290103093,0.3283439133971563,0,9.9999000009999908e-06,100000
OpenBMI,LE,pooled_session,R,spectrum,I,0.90425137975215342,0.87023235715690084,0.034019022595252579,5133,0.051339486605133947,100000
