dataset,geometry,template,object,signature,subject,same_subject_cross_session_cosine
BNCI2014_001,AIRM,session_specific,Z,sensor,1,0.91777339814642123
BNCI2014_001,AIRM,session_specific,Z,sensor,2,0.86458198362391725
BNCI2014_001,AIRM,session_specific,Z,sensor,3,0.82887432282219176
BNCI2014_001,AIRM,session_specific,Z,sensor,4,0.52727432434237931
BNCI2014_001,AIRM,session_specific,Z,sensor,5,0.83655594581802528
BNCI2014_001,AIRM,session_specific,Z,sensor,6,0.75643868988156393
BNCI2014_001,AIRM,session_specific,Z,sensor,7,0.7396262009452077
BNCI2014_001,AIRM,session_specific,Z,sensor,8,0.77304114293468351
BNCI2014_001,AIRM,session_specific,Z,sensor,9,0.73957111638445328
BNCI2014_001,AIRM,session_specific,Z,spectrum,1,0.98593399334763154
BNCI2014_001,AIRM,session_specific,Z,spectrum,2,0.93411748486903423
BNCI2014_001,AIRM,session_specific,Z,spectrum,3,0.95427121814899929
BNCI2014_001,AIRM,session_specific,Z,spectrum,4,0.76358593588616896
BNCI2014_001,AIRM,session_specific,Z,spectrum,5,0.96962603406729642
BNCI2014_001,AIRM,session_specific,Z,spectrum,6,0.96440724774113462
BNCI2014_001,AIRM,session_specific,Z,spectrum,7,0.934106592071277
BNCI2014_001,AIRM,session_specific,Z,spectrum,8,0.96291281907581083
BNCI2014_001,AIRM,session_specific,Z,spectrum,9,0.88629252154754179
BNCI2014_001,AIRM,session_specific,R,sensor,1,0.91776846229991083
BNCI2014_001,AIRM,session_specific,R,sensor,2,0.86458086963027292
BNCI2014_001,AIRM,session_specific,R,sensor,3,0.82886445842829626
BNCI2014_001,AIRM,session_specific,R,sensor,4,0.52727364777369323
BNCI2014_001,AIRM,session_specific,R,sensor,5,0.83655422998492412
BNCI2014_001,AIRM,session_specific,R,sensor,6,0.75643429236768278
BNCI2014_001,AIRM,session_specific,R,sensor,7,0.73962146218109059
BNCI2014_001,AIRM,session_specific,R,sensor,8,0.7730313197578752
BNCI2014_001,AIRM,session_specific,R,sensor,9,0.73956289598043845
BNCI2014_001,AIRM,session_specific,R,spectrum,1,0.98591601025225284
BNCI2014_001,AIRM,session_specific,R,spectrum,2,0.9341035357589903
BNCI2014_001,AIRM,session_specific,R,spectrum,3,0.9543035889512802
BNCI2014_001,AIRM,session_specific,R,spectrum,4,0.76360935000607955
BNCI2014_001,AIRM,session_specific,R,spectrum,5,0.96962771212804699
BNCI2014_001,AIRM,session_specific,R,spectrum,6,0.96436517384421649
BNCI2014_001,AIRM,session_specific,R,spectrum,7,0.93411469508968981
BNCI2014_001,AIRM,session_specific,R,spectrum,8,0.96275862073265017
BNCI2014_001,AIRM,session_specific,R,spectrum,9,0.88624725793667025
BNCI2014_001,AIRM,pooled_session,Z,sensor,1,0.92253643643282124
BNCI2014_001,AIRM,pooled_session,Z,sensor,2,0.90824202170656443
