dataset,geometry,template,object,signature,subject,session0_half_cosine,session1_half_cosine,mean_session_half_cosine,same_subject_cross_session_cosine
BNCI2014_001,AIRM,session_specific,Z,sensor,1,0.85312780051340376,0.75236453492804611,0.80274616772072505,0.91777339814642123
BNCI2014_001,AIRM,session_specific,Z,sensor,2,0.84464623014961115,0.88874563887366853,0.86669593451164006,0.86458198362391725
BNCI2014_001,AIRM,session_specific,Z,sensor,3,0.65232115320210526,0.78415368350454573,0.71823741835332533,0.82887432282219176
BNCI2014_001,AIRM,session_specific,Z,sensor,4,0.56583855631943925,0.73947594281446827,0.65265724956695392,0.52727432434237931
BNCI2014_001,AIRM,session_specific,Z,sensor,5,0.71399279225976153,0.78128103529074,0.74763691377525099,0.83655594581802528
BNCI2014_001,AIRM,session_specific,Z,sensor,6,0.56876271803484491,0.72352065998749759,0.64614168901117131,0.75643868988156393
BNCI2014_001,AIRM,session_specific,Z,sensor,7,0.66438602465896945,0.74612093732932672,0.70525348099414809,0.7396262009452077
BNCI2014_001,AIRM,session_specific,Z,sensor,8,0.75592343991584898,0.82510757287145586,0.79051550639365264,0.77304114293468351
BNCI2014_001,AIRM,session_specific,Z,sensor,9,0.68616438103452237,0.90638805522362287,0.79627621812907279,0.73957111638445328
BNCI2014_001,AIRM,session_specific,Z,spectrum,1,0.96918328875073456,0.93205676818062022,0.95062002846567739,0.98593399334763154
BNCI2014_001,AIRM,session_specific,Z,spectrum,2,0.97352885897539354,0.97130057591620245,0.97241471744579822,0.93411748486903423
BNCI2014_001,AIRM,session_specific,Z,spectrum,3,0.86715323703422864,0.95544680901610857,0.91130002302516866,0.95427121814899929
BNCI2014_001,AIRM,session_specific,Z,spectrum,4,0.87196167105415912,0.97889749940328707,0.9254295852287231,0.76358593588616896
BNCI2014_001,AIRM,session_specific,Z,spectrum,5,0.97775267543794964,0.98728608399295559,0.98251937971545278,0.96962603406729642
BNCI2014_001,AIRM,session_specific,Z,spectrum,6,0.94891036318030375,0.98222788434327657,0.96556912376179005,0.96440724774113462
BNCI2014_001,AIRM,session_specific,Z,spectrum,7,0.95093404384136027,0.97081809607915681,0.96087606996025854,0.934106592071277
BNCI2014_001,AIRM,session_specific,Z,spectrum,8,0.96013181752806931,0.98303009982289735,0.97158095867548355,0.96291281907581083
BNCI2014_001,AIRM,session_specific,Z,spectrum,9,0.95108797601182171,0.98813049663028163,0.96960923632105167,0.88629252154754179
BNCI2014_001,AIRM,session_specific,R,sensor,1,0.85311703686310925,0.75235858696751567,0.80273781191531246,0.91776846229991083
BNCI2014_001,AIRM,session_specific,R,sensor,2,0.84464359975039671,0.88874376787115716,0.86669368381077716,0.86458086963027292
BNCI2014_001,AIRM,session_specific,R,sensor,3,0.65230912649981565,0.78413894523025296,0.71822403586503436,0.82886445842829626
BNCI2014_001,AIRM,session_specific,R,sensor,4,0.56583627574152329,0.73947022761965897,0.65265325168059118,0.52727364777369323
BNCI2014_001,AIRM,session_specific,R,sensor,5,0.71398871757074667,0.78127664204616087,0.74763267980845383,0.83655422998492412
BNCI2014_001,AIRM,session_specific,R,sensor,6,0.56875524292676549,0.72351247450495726,0.64613385871586149,0.75643429236768278
BNCI2014_001,AIRM,session_specific,R,sensor,7,0.66438135081839811,0.74611209526213362,0.70524672304026592,0.73962146218109059
BNCI2014_001,AIRM,session_specific,R,sensor,8,0.75590992109604449,0.8250875687917002,0.79049874494387229,0.7730313197578752
BNCI2014_001,AIRM,session_specific,R,sensor,9,0.68614609954470329,0.90637736012374159,0.79626172983422261,0.73956289598043845
