subject,session,run,class_label,observed_trials,expected_trials,passed
1,0train,0,feet,12,12,True
1,0train,0,left_hand,12,12,True
1,0train,0,right_hand,12,12,True
1,0train,0,tongue,12,12,True
1,0train,1,feet,12,12,True
1,0train,1,left_hand,12,12,True
1,0train,1,right_hand,12,12,True
1,0train,1,tongue,12,12,True
1,0train,2,feet,12,12,True
1,0train,2,left_hand,12,12,True
1,0train,2,right_hand,12,12,True
1,0train,2,tongue,12,12,True
1,0train,3,feet,12,12,True
1,0train,3,left_hand,12,12,True
1,0train,3,right_hand,12,12,True
1,0train,3,tongue,12,12,True
1,0train,4,feet,12,12,True
1,0train,4,left_hand,12,12,True
1,0train,4,right_hand,12,12,True
1,0train,4,tongue,12,12,True
1,0train,5,feet,12,12,True
1,0train,5,left_hand,12,12,True
1,0train,5,right_hand,12,12,True
1,0train,5,tongue,12,12,True
1,1test,0,feet,12,12,True
1,1test,0,left_hand,12,12,True
1,1test,0,right_hand,12,12,True
1,1test,0,tongue,12,12,True
1,1test,1,feet,12,12,True
1,1test,1,left_hand,12,12,True
1,1test,1,right_hand,12,12,True
1,1test,1,tongue,12,12,True
1,1test,2,feet,12,12,True
1,1test,2,left_hand,12,12,True
1,1test,2,right_hand,12,12,True
1,1test,2,tongue,12,12,True
1,1test,3,feet,12,12,True
1,1test,3,left_hand,12,12,True
1,1test,3,right_hand,12,12,True
1,1test,3,tongue,12,12,True
1,1test,4,feet,12,12,True
1,1test,4,left_hand,12,12,True
1,1test,4,right_hand,12,12,True
1,1test,4,tongue,12,12,True
1,1test,5,feet,12,12,True
1,1test,5,left_hand,12,12,True
1,1test,5,right_hand,12,12,True
1,1test,5,tongue,12,12,True
2,0train,0,feet,12,12,True
2,0train,0,left_hand,12,12,True
2,0train,0,right_hand,12,12,True
2,0train,0,tongue,12,12,True
2,0train,1,feet,12,12,True
2,0train,1,left_hand,12,12,True
2,0train,1,right_hand,12,12,True
2,0train,1,tongue,12,12,True
2,0train,2,feet,12,12,True
2,0train,2,left_hand,12,12,True
2,0train,2,right_hand,12,12,True
2,0train,2,tongue,12,12,True
2,0train,3,feet,12,12,True
2,0train,3,left_hand,12,12,True
2,0train,3,right_hand,12,12,True
2,0train,3,tongue,12,12,True
2,0train,4,feet,12,12,True
2,0train,4,left_hand,12,12,True
2,0train,4,right_hand,12,12,True
2,0train,4,tongue,12,12,True
2,0train,5,feet,12,12,True
2,0train,5,left_hand,12,12,True
2,0train,5,right_hand,12,12,True
2,0train,5,tongue,12,12,True
2,1test,0,feet,12,12,True
2,1test,0,left_hand,12,12,True
2,1test,0,right_hand,12,12,True
2,1test,0,tongue,12,12,True
2,1test,1,feet,12,12,True
2,1test,1,left_hand,12,12,True
2,1test,1,right_hand,12,12,True
2,1test,1,tongue,12,12,True
2,1test,2,feet,12,12,True
2,1test,2,left_hand,12,12,True
2,1test,2,right_hand,12,12,True
2,1test,2,tongue,12,12,True
2,1test,3,feet,12,12,True
2,1test,3,left_hand,12,12,True
2,1test,3,right_hand,12,12,True
2,1test,3,tongue,12,12,True
2,1test,4,feet,12,12,True
2,1test,4,left_hand,12,12,True
2,1test,4,right_hand,12,12,True
2,1test,4,tongue,12,12,True
2,1test,5,feet,12,12,True
2,1test,5,left_hand,12,12,True
2,1test,5,right_hand,12,12,True
2,1test,5,tongue,12,12,True
3,0train,0,feet,12,12,True
3,0train,0,left_hand,12,12,True
3,0train,0,right_hand,12,12,True
3,0train,0,tongue,12,12,True
3,0train,1,feet,12,12,True
3,0train,1,left_hand,12,12,True
3,0train,1,right_hand,12,12,True
3,0train,1,tongue,12,12,True
3,0train,2,feet,12,12,True
3,0train,2,left_hand,12,12,True
3,0train,2,right_hand,12,12,True
3,0train,2,tongue,12,12,True
3,0train,3,feet,12,12,True
3,0train,3,left_hand,12,12,True
3,0train,3,right_hand,12,12,True
3,0train,3,tongue,12,12,True
3,0train,4,feet,12,12,True
3,0train,4,left_hand,12,12,True
3,0train,4,right_hand,12,12,True
3,0train,4,tongue,12,12,True
3,0train,5,feet,12,12,True
3,0train,5,left_hand,12,12,True
3,0train,5,right_hand,12,12,True
3,0train,5,tongue,12,12,True
3,1test,0,feet,12,12,True
3,1test,0,left_hand,12,12,True
3,1test,0,right_hand,12,12,True
3,1test,0,tongue,12,12,True
3,1test,1,feet,12,12,True
3,1test,1,left_hand,12,12,True
3,1test,1,right_hand,12,12,True
3,1test,1,tongue,12,12,True
3,1test,2,feet,12,12,True
3,1test,2,left_hand,12,12,True
3,1test,2,right_hand,12,12,True
3,1test,2,tongue,12,12,True
3,1test,3,feet,12,12,True
3,1test,3,left_hand,12,12,True
3,1test,3,right_hand,12,12,True
3,1test,3,tongue,12,12,True
3,1test,4,feet,12,12,True
3,1test,4,left_hand,12,12,True
3,1test,4,right_hand,12,12,True
3,1test,4,tongue,12,12,True
3,1test,5,feet,12,12,True
3,1test,5,left_hand,12,12,True
3,1test,5,right_hand,12,12,True
3,1test,5,tongue,12,12,True
4,0train,0,feet,12,12,True
4,0train,0,left_hand,12,12,True
4,0train,0,right_hand,12,12,True
4,0train,0,tongue,12,12,True
4,0train,1,feet,12,12,True
4,0train,1,left_hand,12,12,True
4,0train,1,right_hand,12,12,True
4,0train,1,tongue,12,12,True
4,0train,2,feet,12,12,True
4,0train,2,left_hand,12,12,True
4,0train,2,right_hand,12,12,True
4,0train,2,tongue,12,12,True
4,0train,3,feet,12,12,True
4,0train,3,left_hand,12,12,True
4,0train,3,right_hand,12,12,True
4,0train,3,tongue,12,12,True
4,0train,4,feet,12,12,True
4,0train,4,left_hand,12,12,True
4,0train,4,right_hand,12,12,True
4,0train,4,tongue,12,12,True
4,0train,5,feet,12,12,True
4,0train,5,left_hand,12,12,True
4,0train,5,right_hand,12,12,True
4,0train,5,tongue,12,12,True
4,1test,0,feet,12,12,True
4,1test,0,left_hand,12,12,True
4,1test,0,right_hand,12,12,True
4,1test,0,tongue,12,12,True
4,1test,1,feet,12,12,True
4,1test,1,left_hand,12,12,True
4,1test,1,right_hand,12,12,True
4,1test,1,tongue,12,12,True
4,1test,2,feet,12,12,True
4,1test,2,left_hand,12,12,True
4,1test,2,right_hand,12,12,True
4,1test,2,tongue,12,12,True
4,1test,3,feet,12,12,True
4,1test,3,left_hand,12,12,True
4,1test,3,right_hand,12,12,True
4,1test,3,tongue,12,12,True
4,1test,4,feet,12,12,True
4,1test,4,left_hand,12,12,True
4,1test,4,right_hand,12,12,True
4,1test,4,tongue,12,12,True
4,1test,5,feet,12,12,True
4,1test,5,left_hand,12,12,True
4,1test,5,right_hand,12,12,True
4,1test,5,tongue,12,12,True
5,0train,0,feet,12,12,True
5,0train,0,left_hand,12,12,True
5,0train,0,right_hand,12,12,True
5,0train,0,tongue,12,12,True
5,0train,1,feet,12,12,True
5,0train,1,left_hand,12,12,True
5,0train,1,right_hand,12,12,True
5,0train,1,tongue,12,12,True
5,0train,2,feet,12,12,True
5,0train,2,left_hand,12,12,True
5,0train,2,right_hand,12,12,True
5,0train,2,tongue,12,12,True
5,0train,3,feet,12,12,True
5,0train,3,left_hand,12,12,True
5,0train,3,right_hand,12,12,True
5,0train,3,tongue,12,12,True
5,0train,4,feet,12,12,True
5,0train,4,left_hand,12,12,True
5,0train,4,right_hand,12,12,True
5,0train,4,tongue,12,12,True
5,0train,5,feet,12,12,True
5,0train,5,left_hand,12,12,True
5,0train,5,right_hand,12,12,True
5,0train,5,tongue,12,12,True
5,1test,0,feet,12,12,True
5,1test,0,left_hand,12,12,True
5,1test,0,right_hand,12,12,True
5,1test,0,tongue,12,12,True
5,1test,1,feet,12,12,True
5,1test,1,left_hand,12,12,True
5,1test,1,right_hand,12,12,True
5,1test,1,tongue,12,12,True
5,1test,2,feet,12,12,True
5,1test,2,left_hand,12,12,True
5,1test,2,right_hand,12,12,True
5,1test,2,tongue,12,12,True
5,1test,3,feet,12,12,True
5,1test,3,left_hand,12,12,True
5,1test,3,right_hand,12,12,True
5,1test,3,tongue,12,12,True
5,1test,4,feet,12,12,True
5,1test,4,left_hand,12,12,True
5,1test,4,right_hand,12,12,True
5,1test,4,tongue,12,12,True
5,1test,5,feet,12,12,True
5,1test,5,left_hand,12,12,True
5,1test,5,right_hand,12,12,True
5,1test,5,tongue,12,12,True
6,0train,0,feet,12,12,True
6,0train,0,left_hand,12,12,True
6,0train,0,right_hand,12,12,True
6,0train,0,tongue,12,12,True
6,0train,1,feet,12,12,True
6,0train,1,left_hand,12,12,True
6,0train,1,right_hand,12,12,True
6,0train,1,tongue,12,12,True
6,0train,2,feet,12,12,True
6,0train,2,left_hand,12,12,True
6,0train,2,right_hand,12,12,True
6,0train,2,tongue,12,12,True
6,0train,3,feet,12,12,True
6,0train,3,left_hand,12,12,True
6,0train,3,right_hand,12,12,True
6,0train,3,tongue,12,12,True
6,0train,4,feet,12,12,True
6,0train,4,left_hand,12,12,True
6,0train,4,right_hand,12,12,True
6,0train,4,tongue,12,12,True
6,0train,5,feet,12,12,True
6,0train,5,left_hand,12,12,True
6,0train,5,right_hand,12,12,True
6,0train,5,tongue,12,12,True
6,1test,0,feet,12,12,True
6,1test,0,left_hand,12,12,True
6,1test,0,right_hand,12,12,True
6,1test,0,tongue,12,12,True
6,1test,1,feet,12,12,True
6,1test,1,left_hand,12,12,True
6,1test,1,right_hand,12,12,True
6,1test,1,tongue,12,12,True
6,1test,2,feet,12,12,True
6,1test,2,left_hand,12,12,True
6,1test,2,right_hand,12,12,True
