dataset,geometry,template,object,signature,stage,observed_statistic
BNCI2014_001,AIRM,session_specific,Z,sensor,R,0.74763691377525099
BNCI2014_001,AIRM,session_specific,Z,sensor,I,0.77304114293468351
BNCI2014_001,AIRM,session_specific,Z,sensor,C,0.77304114293468351
BNCI2014_001,AIRM,session_specific,Z,spectrum,R,0.96556912376179005
BNCI2014_001,AIRM,session_specific,Z,spectrum,I,0.95427121814899929
BNCI2014_001,AIRM,session_specific,Z,spectrum,C,0.95427121814899929
BNCI2014_001,AIRM,session_specific,R,sensor,R,0.74763267980845383
BNCI2014_001,AIRM,session_specific,R,sensor,I,0.7730313197578752
BNCI2014_001,AIRM,session_specific,R,sensor,C,0.7730313197578752
BNCI2014_001,AIRM,session_specific,R,spectrum,R,0.96560894300731837
BNCI2014_001,AIRM,session_specific,R,spectrum,I,0.9543035889512802
BNCI2014_001,AIRM,session_specific,R,spectrum,C,0.9543035889512802
BNCI2014_001,AIRM,pooled_session,Z,sensor,R,0.76147200045080199
BNCI2014_001,AIRM,pooled_session,Z,sensor,I,0.79530402933938849
BNCI2014_001,AIRM,pooled_session,Z,sensor,C,0.79530402933938849
BNCI2014_001,AIRM,pooled_session,Z,spectrum,R,0.96707927078465661
BNCI2014_001,AIRM,pooled_session,Z,spectrum,I,0.96519917328827409
BNCI2014_001,AIRM,pooled_session,Z,spectrum,C,0.96519917328827409
BNCI2014_001,AIRM,pooled_session,R,sensor,R,0.76146874873416981
BNCI2014_001,AIRM,pooled_session,R,sensor,I,0.79530000318792182
BNCI2014_001,AIRM,pooled_session,R,sensor,C,0.79530000318792182
BNCI2014_001,AIRM,pooled_session,R,spectrum,R,0.96710795367717362
BNCI2014_001,AIRM,pooled_session,R,spectrum,I,0.96515845321853821
BNCI2014_001,AIRM,pooled_session,R,spectrum,C,0.96515845321853821
BNCI2014_001,LE,session_specific,Z,sensor,R,0.77138523156754024
BNCI2014_001,LE,session_specific,Z,sensor,I,0.77994394621451824
BNCI2014_001,LE,session_specific,Z,sensor,C,0.77994394621451824
BNCI2014_001,LE,session_specific,Z,spectrum,R,0.9653414071535471
BNCI2014_001,LE,session_specific,Z,spectrum,I,0.94791632968297268
BNCI2014_001,LE,session_specific,Z,spectrum,C,0.94791632968297268
BNCI2014_001,LE,session_specific,R,sensor,R,0.77138523156754024
BNCI2014_001,LE,session_specific,R,sensor,I,0.77994394621451879
BNCI2014_001,LE,session_specific,R,sensor,C,0.77994394621451879
BNCI2014_001,LE,session_specific,R,spectrum,R,0.96534140715354555
BNCI2014_001,LE,session_specific,R,spectrum,I,0.9479163296829709
BNCI2014_001,LE,session_specific,R,spectrum,C,0.9479163296829709
BNCI2014_001,LE,pooled_session,Z,sensor,R,0.78360886573341759
BNCI2014_001,LE,pooled_session,Z,sensor,I,0.80204884012334388
BNCI2014_001,LE,pooled_session,Z,sensor,C,0.80204884012334388
BNCI2014_001,LE,pooled_session,Z,spectrum,R,0.96542240434277216
BNCI2014_001,LE,pooled_session,Z,spectrum,I,0.9605954171740213
BNCI2014_001,LE,pooled_session,Z,spectrum,C,0.9605954171740213
BNCI2014_001,LE,pooled_session,R,sensor,R,0.78360886573341748
BNCI2014_001,LE,pooled_session,R,sensor,I,0.80204884012334388
BNCI2014_001,LE,pooled_session,R,sensor,C,0.80204884012334388
BNCI2014_001,LE,pooled_session,R,spectrum,R,0.96542240434277171
BNCI2014_001,LE,pooled_session,R,spectrum,I,0.96059541717401975
BNCI2014_001,LE,pooled_session,R,spectrum,C,0.96059541717401975
