subject,outer_fold,session,delta_forward,delta_reverse,delta_average
1,2,0,0.044760478996629202,0.36018710007261101,0.20247378953462011
2,3,0,0.58503561241187907,0.59313601576250263,0.58908581408719085
3,4,0,0.98367838516741524,0.70417365680945077,0.84392602098843295
4,0,0,0.23449242574348489,0.36142164010014471,0.2979570329218148
5,5,0,0.52574164684947977,0.63408021914440393,0.57991093299694185
6,5,0,0.37220338692437949,0.23678273157620031,0.30449305925028991
7,4,0,0.62186816965168668,0.52235664696373263,0.57211240830770971
8,2,0,0.0122693192337184,0.046832665317874,0.0295509922757962
9,2,0,0.2067713953279022,-0.021301739587627998,0.092734827870136996
10,0,0,0.1752293389476218,0.3804688324738178,0.27784908571071981
11,0,0,0.48927468922380152,0.42043113767719448,0.454852913450498
12,3,0,0.35617137843701879,0.3982967749189078,0.37723407667796333
13,3,0,0.64892701609654502,0.51186625676764408,0.5803966364320946
14,2,0,0.43066750740517429,0.51744206169643703,0.47405478455080557
15,4,0,0.38866548599677447,0.42680821786222822,0.40773685192950132
16,1,0,0.50857907258620472,0.68123367232447973,0.59490637245534217
17,2,0,0.24543043376204179,0.34996852898782088,0.29769948137493141
18,0,0,0.91854573243237836,0.84980085897338375,0.88417329570288106
19,2,0,0.27227026746038041,0.1222386002327269,0.1972544338465537
20,3,0,0.16009377194598959,0.16533684107326249,0.1627153065096261
21,3,0,0.77396976909926762,0.87494839727942531,0.82445908318934635
22,4,0,0.67750841178421295,0.40881896475701901,0.54316368827061601
23,4,0,0.66754401948394793,0.59754178054792151,0.63254290001593472
24,5,0,0.2879958785305341,0.32078808021541971,0.30439197937297691
25,3,0,0.45834127654088908,0.4536663097301511,0.45600379313551997
26,4,0,0.58627120918502085,0.69001027942294924,0.63814074430398504
27,5,0,0.25765963997016211,0.058084671481956798,0.15787215572605939
28,5,0,0.66090508510432178,0.75764670584225147,0.70927589547328673
29,1,0,0.80857192787535803,0.91899764968189257,0.86378478877862541
30,1,0,0.2045271196211064,0.32724667221550141,0.26588689591830389
31,0,0,0.39407746457583392,0.083786702738003899,0.2389320836569189
32,3,0,1.0304960134899952,0.993469135788831,1.0119825746394131
33,4,0,0.56490109957341783,0.61191598736012975,0.58840854346677385
34,5,0,-0.35583575873599421,-0.3299095373137973,-0.34287264802489581
35,4,0,0.34290560159167671,0.29392955593069231,0.31841757876118443
36,1,0,1.1002678679902391,1.0035392916785346,1.051903579834387
37,0,0,0.76945952308955168,0.90775707039682041,0.83860829674318615
38,1,0,-0.046290977260254301,-0.022161587720100701,-0.0342262824901775
39,3,0,-0.068305574353451401,-0.16571082014696931,-0.11700819725021031
40,2,0,0.064473428822785797,0.28332070842578122,0.1738970686242835
41,3,0,0.27388048611682608,0.3743910969420618,0.32413579152944388
42,2,0,0.64487196583328565,0.48657838147171723,0.56572517365250152
43,0,0,0.34579921881071868,0.38750707454076172,0.36665314667574023
44,5,0,0.9693739282789412,0.95992385692808557,0.96464889260351361
45,0,0,0.90083483555538724,0.84921485020335608,0.87502484287937166
46,0,0,0.3122426132369272,0.44671918996428422,0.37948090160060571
47,5,0,0.3117092315551111,0.2894746802636225,0.30059195590936683
48,5,0,0.48768167622319702,0.4980056223086568,0.49284364926592689
49,1,0,0.13632474114440041,0.027704156928773101,0.082014449036586695
50,2,0,0.49969114664070391,0.48034716523468468,0.4900191559376943
51,1,0,-0.044445328584656198,-0.0623568491484148,-0.053401088866535502
52,1,0,0.3676821040297108,0.34360894250531282,0.35564552326751181
53,4,0,0.41012881373891169,0.60402823343578893,0.50707852358735017
54,1,0,0.49403289567631009,0.45246825588887912,0.47325057578259461
1,2,1,0.16720657991841481,0.2422024905699251,0.2047045352441699
2,3,1,0.39228249280436839,0.37670163530842732,0.38449206405639791
3,4,1,0.54667117558437384,0.84490507305963014,0.69578812432200188
4,0,1,0.29144809503254032,0.32363360206842001,0.30754084855048019
5,5,1,0.3665288560639347,0.1643123724997074,0.26542061428182101
6,5,1,0.45758938455742387,0.31891161555552328,0.3882505000564736
7,4,1,0.37572467925525238,0.19688329976812871,0.28630398951169062
8,2,1,-0.0289948150360918,-0.0299561682936141,-0.029475491664852901
9,2,1,0.0853798566238861,-0.079618440800198906,0.0028807079118435999
10,0,1,0.32991831360662821,0.37662948455058909,0.35327389907860862
11,0,1,0.47004110834455731,0.4234038921548986,0.44672250024972793
12,3,1,0.51408723636259568,0.45320482081564889,0.48364602858912231
13,3,1,0.52131327351557655,0.48916237592586131,0.50523782472071888
14,2,1,-0.46587983694424878,-0.4329555515328784,-0.4494176942385637
15,4,1,0.67877601443976332,0.44590742008092588,0.56234171726034465
16,1,1,0.66054091111861235,0.4668911845126088,0.56371604781561047
17,2,1,0.2907462266951526,0.18954885659824161,0.2401475416466971
18,0,1,0.75197425938017715,0.7815477317336863,0.76676099555693156
19,2,1,-0.052499435576436597,0.1368820001195612,0.0421912822715622
20,3,1,0.56321933068303254,0.48798885338433251,0.52560409203368252
21,3,1,0.95875208883796015,0.99095083045601284,0.97485145964698661
22,4,1,0.17738733100753221,0.23965462712556121,0.20852097906654671
23,4,1,0.33201036085103991,0.4601418961245714,0.39607612848780571
24,5,1,0.2519188639965243,0.42655055653741669,0.3392347102669705
25,3,1,0.46005455747853757,0.44946953872486323,0.4547620481017004
26,4,1,0.64841741037373757,0.30380844746814012,0.47611292892093893
27,5,1,0.3692250869124612,0.55891462277399373,0.46406985484322738
28,5,1,0.52256430290488065,0.57893867385205622,0.55075148837846855
29,1,1,1.0329485310849671,1.082192365735319,1.0575704484101427
30,1,1,0.037547550616724601,0.1278177706308386,0.082682660623781601
31,0,1,0.37691010360208621,0.30605037443188021,0.34148023901698321
32,3,1,1.0358470328846574,0.92964313866467463,0.98274508577466602
33,4,1,0.1873557451745799,0.2285755778280561,0.20796566150131801
34,5,1,0.16783350225261839,-0.045934953019301901,0.060949274616658201
35,4,1,0.50950204259848553,0.50369106085007354,0.50659655172427953
36,1,1,1.2844265837907516,1.2470918099231465,1.265759196856949
37,0,1,0.8119790233044526,0.84858607256503304,0.83028254793474277
38,1,1,0.1945364206048438,0.25232582890407101,0.22343112475445739
39,3,1,-0.7273704576624771,-0.49081874562344452,-0.60909460164296081
40,2,1,0.34044376510930963,0.381753813411291,0.36109878926030031
41,3,1,0.31649461100734078,0.27879860198857292,0.29764660649795688
42,2,1,0.24429051484899611,0.1868773332011005,0.21558392402504831
43,0,1,0.37278403255311943,0.3970905392474669,0.38493728590029308
44,5,1,0.96235239926494176,1.0240938148230616,0.99322310704400163
45,0,1,0.70219241759578122,0.77791313237987414,0.74005277498782762
46,0,1,0.34745733583893251,0.3604776972852935,0.353967516562113
47,5,1,0.43860097194558928,0.55855353353353632,0.49857725273956283
48,5,1,0.55412923290240002,0.68694862892680897,0.62053893091460455
49,1,1,0.23248506732936949,0.30786850296122359,0.27017678514529658
50,2,1,0.28953255715467802,0.16268676542470431,0.22610966128969109
51,1,1,0.16879860547243761,0.13289308885342521,0.1508458471629314
52,1,1,0.53818253498194391,0.3856681718681565,0.4619253534250502
53,4,1,-0.089384529082400604,0.25931929598334169,0.084967383450470502
54,1,1,-0.27891075743195187,-0.26579471345331762,-0.27235273544263477
