session0_subject,session1_subject,similarity
1,1,0.28751398443192616
1,8,-0.091759145214656987
1,9,0.056482555685293125
1,14,-0.14931168212973692
1,17,0.079757534255621612
1,19,0.1614218173399295
1,40,-0.37943012199680504
1,42,-0.22215078134846097
1,50,-0.50360215107291917
2,2,0.15102343314966513
2,12,-0.051491905084069409
2,13,-0.21916286472673552
2,20,-0.025011873778680027
2,21,0.53358195121786145
2,25,-0.28678647471182367
2,32,0.41041092164724879
2,39,0.096448376332799485
2,41,-0.19607086144568053
3,3,2.2411604269078267
3,7,0.20949299070248978
3,15,-0.65138844662702777
3,22,-0.54238230395527487
3,23,1.498726980269028
3,26,-0.57007295321264895
3,33,1.7001265340175176
3,35,-1.496605924824951
3,53,-0.75947299256051048
4,4,0.38866410836405541
4,10,0.22550667822996007
4,11,0.48072443066393766
4,18,-0.42824484548904362
4,31,0.38261681673126474
4,37,-0.62251727705258431
4,43,-0.026672549228851726
4,45,-0.65899584258341992
4,46,0.1923204468564973
5,5,1.2878334682979606
5,6,-0.26083468326353076
5,24,-0.8768797736118904
5,27,-0.92450630112115384
5,28,1.0425456326192319
5,34,-1.2156543891269136
5,44,1.906340213788877
5,47,0.10834361187436994
5,48,-0.74259875452962043
6,5,-1.0261090735577401
6,6,0.20782565586604576
6,24,0.69867285970723103
6,27,0.7366203220323797
6,28,-0.83067070359836381
6,34,0.96859883649553802
6,44,-1.518917654191754
6,47,-0.086325107976295917
6,48,0.59168156348862855
7,3,-1.3849121841907024
7,7,-0.12945498762296317
7,15,0.402521740766007
7,22,0.33516202241419374
7,23,-0.92612970978327891
7,26,0.35227329971690768
7,33,-1.050583404631749
7,35,0.92481901578182402
7,53,0.46931196371873268
8,1,-0.15014596450831943
8,8,0.047918592161473171
8,9,-0.029496401081218124
8,14,0.077973760372121739
8,17,-0.041651093706890574
8,19,-0.08429793251648933
8,40,0.19814654143965019
8,42,0.11601189903073682
8,50,0.26299183620826871
9,1,0.35790649550257592
9,8,-0.11422468426702061
9,9,0.070311270605825843
9,14,-0.18586790132742734
9,17,0.099284699600811502
9,19,0.20094298041168873
9,40,-0.47232660880933403
9,42,-0.2765403143178653
9,50,-0.62689987540673109
10,4,0.011433125315521884
10,10,0.006633609989207449
10,11,0.014141214842677278
10,18,-0.012597450803500415
10,31,0.01125523535457792
10,37,-0.018312259574411165
10,43,-0.00078461219149221289
10,45,-0.019385330130887311
10,46,0.0056573882751939052
11,4,1.3028680648379636
11,10,0.7559366639491768
11,11,1.6114698919221837
11,18,-1.4355494142940604
11,31,1.2825965167902471
11,37,-2.0867835815752613
11,43,-0.08941091253411762
11,45,-2.2090659252711373
11,46,0.64469078320448847
12,2,-0.26543255410419175
12,12,0.090500047556265381
12,13,0.3851916072624248
12,20,0.043959837235506664
12,21,-0.9378016191387929
12,25,0.50404407367602833
12,32,-0.72132130023244745
12,39,-0.16951368628898109
12,41,0.34460605518986293
13,2,-0.26602973734027086
13,12,0.090703659021510716
13,13,0.38605823031592262
13,20,0.044058740242887993
13,21,-0.93991153141992834
13,25,0.50517809686342607
13,32,-0.72294416442775833
13,39,-0.16989506653105202
13,41,0.34538136686896453
14,1,-0.347747091877948
14,8,0.11098234391850352
14,9,-0.06831544044789041
14,14,0.18059192267329233
14,17,-0.096466440223936564
14,19,-0.19523908604488932
14,40,0.45891931745853698
14,42,0.26869054152262284
14,50,0.60910492352260104
15,3,-1.8474289467503924
15,7,-0.17268884927576303
15,15,0.5369512407185818
15,22,0.44709551199538239
15,23,-1.2354276710324403
15,26,0.46992141342492294
15,33,-1.4014449543069472
15,35,1.2336792467884621
15,53,0.62604728063455906
16,16,0.027625793427399521
16,29,-0.019422639449935077
16,30,0.029966494835717568
16,36,-0.059036254994522482
16,38,0.027758247472099339
16,49,0.00722524613563585
16,51,0.012855535086482992
16,52,0.0095665077362430146
16,54,0.014638961968808793
17,1,0.051548916299445434
17,8,-0.016451667579664948
17,9,0.010126862319941574
17,14,-0.026770368821686211
17,17,0.014299876458936689
17,19,0.028941617456978208
17,40,-0.068028731329180442
17,42,-0.039829826212504069
17,50,-0.090291765060301246
18,4,-1.3718513128963477
18,10,-0.79596141228170958
18,11,-1.6967927502324078
18,18,1.5115577715628614
18,31,-1.3505064426410776
18,37,2.1972729805689135
18,43,0.094144972202112168
18,45,2.3260298349815618
18,46,-0.6788253709029598
19,1,0.54693234377067723
19,8,-0.17455166382186418
19,9,0.10744568346528341
19,14,-0.28403275207955858
19,17,0.15172122924728712
19,19,0.30706963025776995
19,40,-0.72178265113236983
19,42,-0.42259317491448339
19,50,-0.95799272288781712
20,2,-0.30559939897418875
20,12,0.10419505713483032
20,13,0.4434811097929296
20,20,0.050612103264849106
20,21,-1.0797153805532791
20,25,0.58031904372751331
20,32,-0.83047596238623977
20,39,-0.19516551322290773
20,41,0.39675390874455346
21,2,0.73597239839119166
21,12,-0.25093205797340323
21,13,-1.0680317340645589
21,20,-0.12188869203437065
21,21,2.6002692442231248
21,25,-1.3975773508647966
21,32,2.0000281018067616
21,39,0.47001542323727841
21,41,-0.95549901855164188
22,3,0.54999751982535683
22,7,0.05141114572781301
22,15,-0.15985559346238246
22,22,-0.13310467130822343
22,23,0.36779880286419719
22,26,-0.13990016360366897
22,33,0.4172237586708788
22,35,-0.36727828000485685
22,53,-0.18638034888869723
23,3,2.7867885669777728
23,7,0.26049570764426588
23,15,-0.80997408928293124
23,22,-0.67442954348389783
23,23,1.8636038560601551
23,26,-0.70886169918152087
23,33,2.1140357158423195
23,35,-1.8609664129791013
23,53,-0.94437266836635581
24,5,-0.98068793069301752
24,6,0.19862616718662404
24,24,0.66774581637992081
24,27,0.70401351857815808
24,28,-0.79390072107509968
24,34,0.9257234080788217
24,44,-1.4516821355235616
24,47,-0.082503891340320712
24,48,0.56549053417391981
25,2,-0.32653475914265762
25,12,0.11133303272056143
25,13,0.47386217988859242
25,20,0.05407933066873169
25,21,-1.1536822484437079
25,25,0.62007431888132025
25,32,-0.88736846100427591
25,39,-0.20853550127098872
25,41,0.4239338901375031
26,3,-1.8107918469186177
26,7,-0.16926418787166453
26,15,0.52630274663408383
26,22,0.43822898268386218
26,23,-1.2109274124443261
26,26,0.46060221456370487
26,33,-1.3736523407994043
26,35,1.2092136618984555
26,53,0.61363188746863262
27,5,-1.2795534572933602
27,6,0.25915766981344718
27,24,0.87124195292004769
27,27,0.91856226989697509
27,28,-1.0358426779877654
27,34,1.2078384471068135
27,44,-1.894083568549221
27,47,-0.10764702623602375
27,48,0.73782428173413239
28,5,0.79813264823387986
28,6,-0.16165186076388038
28,24,-0.54344478003087437
28,27,-0.57296124117502389
28,28,0.64611592038120269
28,34,-0.75339978406782615
28,44,1.1814511741777713
28,47,0.067145773109002424
28,48,-0.46022434198050999
29,16,-0.45046662930102283
29,29,0.31670586939464102
29,30,-0.48863414388756909
29,36,0.96264611779664466
29,38,-0.45262642707153811
29,49,-0.11781497900299391
29,51,-0.20962256065107138
29,52,-0.15599162809396283
29,54,-0.23870314790723113
30,16,0.02475446274447278
30,29,-0.0174039165943334
30,30,0.026851879637146556
30,36,-0.052900228139173035
30,38,0.02487314996782776
30,49,0.0064742787118234014
30,51,0.011519374645109035
30,52,0.008572197572311686
30,54,0.01311743822406272
31,4,0.6062502498643525
31,10,0.35175226392383036
31,11,0.74984877670495953
31,18,-0.66798950300208459
31,31,0.59681749807563333
31,37,-0.9710216267371411
31,43,-0.041604663992704467
31,45,-1.0279220170532115
31,46,0.2999873578539014
32,2,0.79383399316177106
32,12,-0.27066014707721109
32,13,-1.1519995833122358
32,20,-0.13147148905369582
32,21,2.8047004506549555
32,25,-1.5074538279080241
32,32,2.1572688024220077
32,39,0.50696768124957192
32,41,-1.0306196305963002
33,3,2.8707109047942234
33,7,0.26834036763595148
33,15,-0.83436593585100138
33,22,-0.69473955359816764
33,23,1.9197250825563335
33,26,-0.73020861142623772
33,33,2.177698536051663
33,35,-1.9170082145803153
33,53,-0.97281184134072096
34,5,-0.9442185059782906
34,6,0.19123973790175622
34,24,0.64291395599204748
34,27,0.67783294960165152
34,28,-0.76437746329649559
34,34,0.89129798172149566
34,44,-1.3976975694916556
34,47,-0.079435770116700097
34,48,0.54446130171627871
35,3,-1.9719890228731449
35,7,-0.18433213128083051
35,15,0.5731543583192662
35,22,0.47724024427655859
35,23,-1.318724495529338
35,26,0.50160514725992622
35,33,-1.4959352406572706
35,35,1.3168581864501632
35,53,0.66825756269680003
36,16,-1.7594325584727988
36,29,1.2369897830989012
36,30,-1.9085072367541953
36,36,3.7599032020794625
36,38,-1.7678682965940842
36,49,-0.46016174440113183
36,51,-0.81874379634339889
36,52,-0.60927210022985645
36,54,-0.93232675390318187
37,4,-1.5149349654243474
37,10,-0.87897993263444485
37,11,-1.8737676905950786
37,18,1.6692127629814826
37,31,-1.4913638320382632
37,37,2.4264478486507284
37,43,0.10396426264794419
37,45,2.5686340017375029
37,46,-0.74962663965883147
38,16,0.44512035876402861
38,29,-0.31294711092441874
38,30,0.48283489005407421
38,36,-0.95122115034652777
38,38,0.44725452341893601
38,49,0.11641671615711419
38,51,0.20713469840556598
38,52,0.15414027354059542
38,54,0.23587014869322853
39,2,0.43741675830600335
39,12,-0.14913859214518854
39,13,-0.63477241796524708
39,20,-0.072443146863089322
39,21,1.5454402176184836
39,25,-0.8306340776277783
39,32,1.1886937753720159
39,39,0.27934827886982222
39,41,-0.56788988849724931
40,1,-0.66459068253526288
40,8,0.21210193677205214
40,9,-0.13055984149220631
40,14,0.34513504772003439
40,17,-0.18436012506662361
40,19,-0.37312771402751199
40,40,0.8770555082756305
40,42,0.51350315948569714
40,50,1.1640800636847679
41,2,-0.6233265291597454
41,12,0.21252510161167132
41,13,0.9045617950920336
41,20,0.10323275100491142
41,21,-2.2022793333357065
41,25,1.1836680849052499
41,32,-1.6939094151442884
41,39,-0.39807618201235501
41,41,0.80925302110686637
42,1,-0.20729405008685123
42,8,0.066157216253797002
42,9,-0.040723228647101525
42,14,0.10765188822069965
42,17,-0.057504202216303368
42,19,-0.11638314690983856
42,40,0.27356445589619088
42,42,0.16016798378231326
42,50,0.36309096315651646
43,4,-0.40527515347080628
43,10,-0.23514456740814654
43,11,-0.50127002525276465
43,18,0.44654752456865876
43,31,-0.39896940773349648
43,37,0.64912293048525549
43,43,0.027812502491367758
43,45,0.6871605468376677
43,46,-0.20053999568782749
44,5,1.8775840757662541
44,6,-0.38028134829450727
44,24,-1.278438198590347
44,27,-1.3478748236173548
44,28,1.5199691002382261
44,34,-1.7723513007288576
44,44,2.7793298718454342
44,47,0.15795849803093581
44,48,-1.0826645140938964
45,4,-0.53211695081175059
45,10,-0.30873940614813516
45,11,-0.65815600854505474
45,18,0.58630662435398084
45,31,-0.52383765175875996
45,37,0.85228347090536216
45,43,0.036517175783925528
45,45,0.9022259859010433
45,46,-0.26330439975737424
46,4,-0.15210462773089065
46,10,-0.088252577495190235
46,11,-0.18813265489076722
46,18,0.16759464380428465
46,31,-0.14973800569713142
46,37,0.24362362421548467
46,43,0.010438365889160526
46,45,0.25789959802119405
46,46,-0.075265066530777788
47,5,-1.1214482293444197
47,6,0.22713541843581109
47,24,0.76358884411091488
47,27,0.8050621294850524
47,28,-0.90785104013238127
47,34,1.0585945277403912
47,44,-1.6600452697560821
47,47,-0.094345856578701592
47,48,0.64665663603326706
48,5,-0.72845064121420966
48,6,0.14753863519740704
48,24,0.49599862798996974
48,27,0.5229381161745571
48,28,-0.58970593114050385
48,34,0.68762323782804813
48,44,-1.0783030456121439
48,47,-0.061283524216570656
48,48,0.42004385832347307
49,16,0.21132130777012192
49,29,-0.14857193440232713
49,30,0.22922631686986225
49,36,-0.45159313321004729
49,38,0.21233450444152127
49,49,0.055268945174593423
49,51,0.098337392325024614
49,52,0.073178239420657279
49,54,0.11197957429803866
50,1,-0.45178681802312637
50,8,0.1441862813141431
50,9,-0.088754201494899695
50,14,0.23462180421017381
50,17,-0.12532747819523649
50,19,-0.25365113755982915
50,40,0.59621979020519666
50,42,0.34907795815592946
50,50,0.79133825031980454
51,16,0.61952126826562415
51,29,-0.43556172446998537
51,30,0.67201258616833792
51,36,-1.3239154800739479
51,38,0.62249161183150181
51,49,0.1620295055504502
51,51,0.28829135430775094
51,52,0.21453338602583141
51,54,0.32828553173838604
52,16,-0.090338093825006266
52,29,0.063513260879496408
52,30,-0.09799233564783974
52,36,0.19305229211924194
52,38,-0.090771226938414912
52,49,-0.023627012379759074
52,51,-0.042038413769558129
52,52,-0.031283086066850416
52,54,-0.047870332604721608
53,3,-1.7212654895183415
53,7,-0.16089569084962818
53,15,0.50028210385502037
53,22,0.416562746117977
53,23,-1.1510586205140105
53,26,0.43782983542440218
53,33,-1.305738355757224
53,35,1.1494295985602889
53,53,0.58329365297569158
54,16,0.75709804537662084
54,29,-0.53228669801810258
54,30,0.82124608390101916
54,36,-1.6179167262714196
54,38,0.76072801164738135
54,49,0.19801131652673076
54,51,0.3523120706677571
54,52,0.2621747073880038
54,54,0.40118773500765681
