outer_fold,view,mode,class,loading_energy
0,session0,1,left_hand,0.19067883760442486
0,session0,1,right_hand,0.13338367257476674
0,session0,1,feet,0.15662419184978713
0,session0,1,tongue,0.51931329797102244
0,session1,1,left_hand,0.2547633266219419
0,session1,1,right_hand,0.080028405503513103
0,session1,1,feet,0.17543583821953507
0,session1,1,tongue,0.48977242965500933
1,session0,1,left_hand,0.20147518435499956
1,session0,1,right_hand,0.19370022491080446
1,session0,1,feet,0.11423315410270467
1,session0,1,tongue,0.49059143663149191
1,session1,1,left_hand,0.25057940740866541
1,session1,1,right_hand,0.13380400896256192
1,session1,1,feet,0.16215324569089395
1,session1,1,tongue,0.45346333793787963
2,session0,1,left_hand,0.18502829907648724
2,session0,1,right_hand,0.15091888848499468
2,session0,1,feet,0.13621387103430521
2,session0,1,tongue,0.52783894140421261
2,session1,1,left_hand,0.27961253610043374
2,session1,1,right_hand,0.081118675259505793
2,session1,1,feet,0.141262625791198
2,session1,1,tongue,0.49800616284886257
3,session0,1,left_hand,0.19991884733097262
3,session0,1,right_hand,0.18241526812617795
3,session0,1,feet,0.12424942929992741
3,session0,1,tongue,0.49341645524292232
3,session1,1,left_hand,0.28463138198750143
3,session1,1,right_hand,0.11890238469473835
3,session1,1,feet,0.098759155062774398
3,session1,1,tongue,0.49770707825498611
4,session0,1,left_hand,0.18253082254134262
4,session0,1,right_hand,0.17395324486806507
4,session0,1,feet,0.15184764253338079
4,session0,1,tongue,0.49166829005721313
4,session1,1,left_hand,0.23643011242719689
4,session1,1,right_hand,0.12735058990474921
4,session1,1,feet,0.18246406957498271
4,session1,1,tongue,0.45375522809307128
5,session0,1,left_hand,0.21536948396094593
5,session0,1,right_hand,0.19432312171689897
5,session0,1,feet,0.098617933220823031
5,session0,1,tongue,0.49168946110133183
5,session1,1,left_hand,0.2872551262619808
5,session1,1,right_hand,0.13420475642937138
5,session1,1,feet,0.13064004499033682
5,session1,1,tongue,0.44790007231831158
6,session0,1,left_hand,0.19423788610595483
6,session0,1,right_hand,0.19107289964226912
6,session0,1,feet,0.11149787189508878
6,session0,1,tongue,0.50319134235668572
6,session1,1,left_hand,0.28340978338322342
6,session1,1,right_hand,0.12060467489945184
6,session1,1,feet,0.12180952612355661
6,session1,1,tongue,0.47417601559376804
7,session0,1,left_hand,0.20369347481752437
7,session0,1,right_hand,0.19760568732856207
7,session0,1,feet,0.12595592004849199
7,session0,1,tongue,0.47274491780542294
7,session1,1,left_hand,0.26170023794359049
7,session1,1,right_hand,0.14417829756751424
7,session1,1,feet,0.14530711829150283
7,session1,1,tongue,0.44881434619739324
8,session0,1,left_hand,0.18409921834204807
8,session0,1,right_hand,0.23038725380471692
8,session0,1,feet,0.1370575590187284
8,session0,1,tongue,0.44845596883450684
8,session1,1,left_hand,0.18995957887036111
8,session1,1,right_hand,0.21257478350606177
8,session1,1,feet,0.14437889611665447
8,session1,1,tongue,0.45308674150692296
