subject,outer_fold,rank,delta_forward,delta_reverse,delta_average
1,2,1,2.1610407086123669,3.5723035094182709,2.8666721090153189
2,3,1,0.94273060455351854,-0.017377477877547287,0.46267656333798562
3,4,1,-0.23119300215132266,0.18462078523713488,-0.02328610845709389
4,0,1,0.38319648705507925,0.1041013264388603,0.24364890674696976
5,5,1,-0.14338897195210865,-0.037087623992224872,-0.090238297972166759
6,5,1,1.7563136337546084,0.38161715146354491,1.0689653926090767
7,4,1,0.39843111860313707,0.29622875604274734,0.34732993732294221
8,2,1,1.2155276148016663,0.67732268309059518,0.94642514894613072
9,2,1,0.70638132984898649,0.29328833043714958,0.49983483014306807
10,0,1,0.030472376871089973,0.008771566464311072,0.019621971667700522
11,0,1,0.048362787428561212,-0.0089289987429130857,0.019716894342824063
12,3,1,-1.0603040785693052,-0.15633083976782669,-0.60831745916856594
13,3,1,-3.0059918055045198,-1.0524728018162404,-2.0292323036603799
14,2,1,-0.59562017336827799,-0.61072571496120021,-0.6031729441647391
15,4,1,0.46582469528159631,0.35120838265339149,0.4085165389674939
16,1,1,0.085171855459039658,-0.058876440176798439,0.01314770764112061
17,2,1,-5.6183396036566329,-4.6088385674205004,-5.1135890855385666
18,0,1,0.1160785781756328,-0.058409653862752271,0.028834462156440265
19,2,1,-0.10149492239269439,-0.084003908808060274,-0.092749415600377333
20,3,1,-0.63418292298092904,-0.18257288019666684,-0.40837790158879794
21,3,1,-0.68949457443957884,-0.1534574860726543,-0.42147603025611657
22,4,1,0.099668093369390531,0.24913409943758791,0.17440109640348922
23,4,1,-1.5447003962371448,-0.071572009262936609,-0.80813620275004072
24,5,1,0.16839140681610956,0.071865531036412716,0.12012846892626114
25,3,1,1.8257954883845047,0.067374202588818877,0.94658484548666177
26,4,1,-0.09170892963521815,-1.3386184545866584,-0.71516369211093833
27,5,1,-0.0091900182077597758,1.2404299642964953,0.61561997304436777
28,5,1,0.10720940423863717,0.018825709796161383,0.063017557017399278
29,1,1,-0.70019384370538329,-0.31987094616640366,-0.51003239493589347
30,1,1,0.85366017276115302,0.63550271677303383,0.74458144476709343
31,0,1,0.54119924416135334,0.85125261584755696,0.6962259300044551
32,3,1,0.14302648574958232,0.1742560306132267,0.15864125818140451
33,4,1,-0.12158587140400423,-0.14235100956750946,-0.13196844048575684
34,5,1,-0.10487733306139702,-0.36744820609958229,-0.23616276958048965
35,4,1,0.024020326558195707,-0.47042728954327151,-0.22320348149253791
36,1,1,-0.26585658953715507,-0.067445499219760174,-0.16665104437845762
37,0,1,-4.4394500014825278,-3.6976113850294272,-4.0685306932559779
38,1,1,0.35154421995112861,0.68887194097682403,0.52020808046397637
39,3,1,0.44581769109440617,-0.080002688909242559,0.1829075010925818
40,2,1,0.46889058973580316,1.014540381659903,0.74171548569785306
41,3,1,-0.45804854546179852,0.79285332897528271,0.1674023917567421
42,2,1,-3.1315911455677794,-2.2890665839473057,-2.7103288647575425
43,0,1,-0.013791286238565004,0.021856063166700506,0.0040323884640677508
44,5,1,0.13644317490484792,1.5409560379500573,0.83869960642745256
45,0,1,2.3760802097449223,3.2393005671496291,2.8076903884472757
46,0,1,-0.098160078752409341,-0.038009693733816352,-0.068084886243112847
47,5,1,-0.15277027617011085,-0.17108820296636984,-0.16192923956824035
48,5,1,0.056128751454051939,0.006137805705928312,0.031133278579990126
49,1,1,-0.050566554915723289,0.0038759163303110356,-0.023345319292706126
50,2,1,1.1726742213719972,0.63139354597479302,0.9020338836733951
51,1,1,-0.29112655420848416,-0.58719026006393005,-0.43915840713620713
52,1,1,0.89058680994706885,0.62735322907580082,0.75897001951143483
53,4,1,-0.88677179688218966,-2.7661916922650365,-1.826481744573613
54,1,1,0.2699728992520265,0.52727478985696641,0.39862384455449645
1,2,2,1.0297676044282775,2.2276206422358618,1.6286941233320698
2,3,2,0.67454840534997951,0.40923437918826655,0.54189139226912308
3,4,2,0.35288264152009807,0.6650058574296196,0.50894424947485883
4,0,2,0.29700315660048482,0.068497970427040047,0.18275056351376243
5,5,2,-0.1358540914313261,0.030629246147010153,-0.052612422642157972
6,5,2,0.95725148451237274,0.15467494463368064,0.55596321457302667
7,4,2,0.052215508542410471,0.13147124799702342,0.091843378269716947
8,2,2,0.73036033829577551,0.12974061488771976,0.43005047659174767
9,2,2,-0.02583361496497133,-0.43511112809300212,-0.23047237152898672
10,0,2,-0.020843427115606938,-0.32989236622786849,-0.17536789667173772
11,0,2,0.0076087063415286316,-0.0065538458182793635,0.00052743026162463402
12,3,2,-0.1237023629810029,0.36121607257699817,0.11875685479799764
13,3,2,-1.353177997671569,-0.34965186507432156,-0.85141493137294533
14,2,2,-0.37401175701215805,0.17550602558771883,-0.099252865712219612
15,4,2,0.11708379677151648,0.1487396578689355,0.13291172732022599
16,1,2,0.74197799804830977,0.61888224153149385,0.68043011978990187
17,2,2,-1.9637460796690944,-2.1626106605718092,-2.0631783701204518
18,0,2,-1.9688760705213313,-1.8804021535161763,-1.9246391120187538
