subject,outer_fold,rank,delta_forward,delta_reverse,delta_average
1,2,1,-0.043023748014425364,0.044309006084669512,0.00064262903512207412
2,3,1,-0.0020916298835315992,-0.0014341391694135707,-0.0017628845264725849
3,4,1,-0.1187781016736694,-0.0012321231321433812,-0.060005112402906388
4,0,1,0.10909470791733734,0.15227612494994075,0.13068541643363904
5,5,1,-0.0073344835506959647,0.0099603721718816169,0.0013129443105928261
6,5,1,0.0011345098260309577,-0.0011256581470235685,4.4258395036946008e-06
7,4,1,-0.07174377414845351,0.25826774787772067,0.093261986864633578
8,2,1,-0.021620744434924101,-0.084796912967002147,-0.053208828700963121
9,2,1,-0.012284675859693332,-0.073942987146194378,-0.043113831502943858
10,0,1,0.044757740136741213,0.073256363606447925,0.059007051871594565
11,0,1,0.12197551088682913,0.11590199385046815,0.11893875236864865
12,3,1,-0.0078549263567241276,0.040739199999408351,0.016442136821342112
13,3,1,-0.024477771402858145,-0.096697488451870733,-0.060587629927364439
14,2,1,-0.098214712080093414,-0.040578323844775901,-0.069396517962434651
15,4,1,0.23182821116733077,0.44300815677219774,0.33741818396976425
16,1,1,0.26425188411676753,0.30398951877087016,0.28412070144381885
17,2,1,0.0024749840393085937,-0.017066523913445004,-0.0072957699370682048
18,0,1,0.12115317235864578,0.093252731431428842,0.10720295189503731
19,2,1,0.0073237150010521893,0.0023820567262418423,0.0048528858636470162
20,3,1,0.082140729455494457,0.09915339582541538,0.090647062640454912
21,3,1,0.11709033182280415,0.24472267061744069,0.18090650122012242
22,4,1,0.07975887515639643,0.21034592883905001,0.14505240199772323
23,4,1,0.043267376731585316,-0.037851935742138507,0.0027077204947234049
24,5,1,0.0067037538547070896,0.046086611596315205,0.026395182725511147
25,3,1,0.083803233187512205,0.10425287029416612,0.094028051740839169
26,4,1,0.06626531164931429,0.03147818010902359,0.04887174587916894
27,5,1,0.040319741774134471,-0.032116950714545622,0.0041013955297944243
28,5,1,-0.073673139299863577,0.0001234514091297996,-0.03677484394536689
29,1,1,2.480714422514211,2.7757907409296267,2.6282525817219189
30,1,1,0.039894219795321699,-0.11991643805916459,-0.040011109131921449
31,0,1,-0.017464237994287545,-0.0076309934890223773,-0.012547615741654961
32,3,1,-0.0072191769090039814,-0.036394400385572456,-0.02180678864728822
33,4,1,0.031638323780515981,-0.041952535307780141,-0.0051571057636320798
34,5,1,0.18077352458698573,0.2031215164952162,0.19194752054110098
35,4,1,0.018899291673409174,-0.024943982127924841,-0.0030223452272578333
36,1,1,21.899419233745416,21.52847491997996,21.713947076862688
37,0,1,0.16185120550110668,0.12150749976640818,0.14167935263375742
38,1,1,0.095285721882065855,0.15775875028260783,0.12652223608233684
39,3,1,0.0017316673607695578,0.015012576115271981,0.0083721217380207692
40,2,1,0.011443976346357625,0.064400296740201701,0.037922136543279666
41,3,1,-0.021573117479690339,0.012883834170162844,-0.0043446416547637473
42,2,1,-0.033075163795268314,-0.11510768557221583,-0.07409142468374208
43,0,1,0.023482213687962879,-0.063717705672089425,-0.020117745992063271
44,5,1,0.23896388333465421,0.17274512811615689,0.20585450572540553
45,0,1,0.06781053521455048,0.054394061417960229,0.061102298316255355
46,0,1,0.001716647541835703,0.043162950522834552,0.022439799032335127
47,5,1,-0.008859060232175836,0.039309934458125383,0.015225437112974773
48,5,1,0.071101142331075451,0.0033389257318000715,0.037220034031437761
49,1,1,-0.066528525245954706,-0.018958466400564526,-0.04274349582325962
50,2,1,0.11104815687229752,0.1955359550995249,0.15329205598591122
51,1,1,0.093670138008702608,0.18302665499151496,0.13834839650010877
52,1,1,-0.016813919301021975,-0.075211998640447336,-0.046012958970734652
53,4,1,-0.0035407427701183609,-0.044726871764810078,-0.024133807267464218
54,1,1,0.056639830581508122,0.25895461939949904,0.15779722499050358
1,2,2,0.069622780649553531,0.12371409962387502,0.096668440136714273
2,3,2,-0.009267676251328627,0.0074625399751341286,-0.00090256813809724921
3,4,2,1.0294959916539392,1.3159341673164546,1.1727150794851968
4,0,2,0.059110948199401089,0.14276804839951138,0.10093949829945623
5,5,2,0.19008426251831534,0.20838400022806974,0.19923413137319254
6,5,2,-0.023435971378800907,0.0055120761104549554,-0.0089619476341729759
7,4,2,-0.080112435449225083,0.13311892459726699,0.026503244574020951
8,2,2,-0.029558676087304711,-0.037241758475809544,-0.033400217281557128
9,2,2,0.00064164372809763157,-0.034828697316610646,-0.017093526794256506
10,0,2,0.022262766221895908,0.038212833178899612,0.03023779970039776
11,0,2,0.23563721242210625,0.35089371437803274,0.29326546340006948
12,3,2,0.014560399559171378,0.018925206863680051,0.016742803211425714
13,3,2,0.10160451769116703,0.038365352912657413,0.069984935301912216
14,2,2,0.021314626786721962,0.00064262326183255059,0.010978625024277256
15,4,2,0.23979032669554889,0.31244086394016435,0.27611559531785662
16,1,2,-0.0026208423416597265,0.02661982748765665,0.011999492572998462
17,2,2,-0.0098092933813042314,-0.0083200062901152057,-0.0090646498357097177
18,0,2,0.53796740236511753,0.28647235263760906,0.4122198775013633
19,2,2,0.050501847045156166,0.0016354326385958191,0.026068639841875994
20,3,2,0.038742644634012682,0.0536573202678884,0.046199982450950541
21,3,2,1.3318360710024286,1.6292157938067615,1.480525932404595
22,4,2,0.0040028832521398772,0.049660585575686811,0.026831734413913344
23,4,2,0.28307214679317538,0.28883307984612444,0.28595261331964994
24,5,2,0.088592257243369138,-0.013004019910822034,0.037794118666273552
25,3,2,0.13391785376914941,0.074874142143309411,0.10439599795622942
26,4,2,0.1457687719935411,0.075833550465020438,0.11080116122928077
27,5,2,0.24739846896218715,0.052754077730300997,0.15007627334624407
28,5,2,0.10803953185207346,0.13601664290575805,0.12202808737891575
29,1,2,8.5591256291542592,7.0512820801544436,7.8052038546543514
30,1,2,-0.052468195468953857,-0.12230957779022839,-0.087388886629591128
31,0,2,0.051119460878066555,0.12645158000974008,0.08878552044390331
32,3,2,2.026639704570659,2.0472459534892935,2.036942829029976
33,4,2,0.58846181600796266,0.64232128788297094,0.6153915519454668
34,5,2,0.2898208462437204,0.12410730003009302,0.20696407313690671
35,4,2,0.21874488217442992,0.12625706925869346,0.1725009757165617
36,1,2,11.16754864867498,10.869940774590633,11.018744711632806
37,0,2,1.1133277150743484,0.82951129062266282,0.97141950284850553
38,1,2,0.051513404300012999,0.19825212571038203,0.12488276500519752
39,3,2,0.013285569341508209,0.0040550811873665566,0.008670325264437383
40,2,2,0.15548853753725497,0.13658715745618316,0.14603784749671905
41,3,2,0.15284593302029498,0.14227765609012857,0.14756179455521179
42,2,2,0.078365295354750994,0.045507331492173619,0.061936313423462307
43,0,2,0.026258475359848266,-0.043381575256126931,-0.0085615499481393326
44,5,2,1.4971778514545804,1.7103589552945864,1.6037684033745834
45,0,2,0.30852738495470705,0.21948938307445043,0.26400838401457871
46,0,2,0.0018288947454879155,0.016221682490890618,0.0090252886181892665
47,5,2,-0.093567038991762136,0.020392638434637698,-0.036587200278562215
