subject,outer_fold,selected_rank,delta_forward,delta_reverse,delta_average
1,2,1,-0.043023748014425364,0.044309006084669512,0.00064262903512207412
2,3,2,-0.009267676251328627,0.0074625399751341286,-0.00090256813809724921
3,4,2,1.0294959916539392,1.3159341673164546,1.1727150794851968
4,0,1,0.10909470791733734,0.15227612494994075,0.13068541643363904
5,5,2,0.19008426251831534,0.20838400022806974,0.19923413137319254
6,5,2,-0.023435971378800907,0.0055120761104549554,-0.0089619476341729759
7,4,2,-0.080112435449225083,0.13311892459726699,0.026503244574020951
8,2,1,-0.021620744434924101,-0.084796912967002147,-0.053208828700963121
9,2,1,-0.012284675859693332,-0.073942987146194378,-0.043113831502943858
10,0,1,0.044757740136741213,0.073256363606447925,0.059007051871594565
11,0,1,0.12197551088682913,0.11590199385046815,0.11893875236864865
12,3,2,0.014560399559171378,0.018925206863680051,0.016742803211425714
13,3,2,0.10160451769116703,0.038365352912657413,0.069984935301912216
14,2,1,-0.098214712080093414,-0.040578323844775901,-0.069396517962434651
15,4,2,0.23979032669554889,0.31244086394016435,0.27611559531785662
16,1,1,0.26425188411676753,0.30398951877087016,0.28412070144381885
17,2,1,0.0024749840393085937,-0.017066523913445004,-0.0072957699370682048
18,0,1,0.12115317235864578,0.093252731431428842,0.10720295189503731
19,2,1,0.0073237150010521893,0.0023820567262418423,0.0048528858636470162
20,3,2,0.038742644634012682,0.0536573202678884,0.046199982450950541
21,3,2,1.3318360710024286,1.6292157938067615,1.480525932404595
22,4,2,0.0040028832521398772,0.049660585575686811,0.026831734413913344
23,4,2,0.28307214679317538,0.28883307984612444,0.28595261331964994
24,5,2,0.088592257243369138,-0.013004019910822034,0.037794118666273552
25,3,2,0.13391785376914941,0.074874142143309411,0.10439599795622942
26,4,2,0.1457687719935411,0.075833550465020438,0.11080116122928077
27,5,2,0.24739846896218715,0.052754077730300997,0.15007627334624407
28,5,2,0.10803953185207346,0.13601664290575805,0.12202808737891575
29,1,1,2.480714422514211,2.7757907409296267,2.6282525817219189
30,1,1,0.039894219795321699,-0.11991643805916459,-0.040011109131921449
31,0,1,-0.017464237994287545,-0.0076309934890223773,-0.012547615741654961
32,3,2,2.026639704570659,2.0472459534892935,2.036942829029976
33,4,2,0.58846181600796266,0.64232128788297094,0.6153915519454668
34,5,2,0.2898208462437204,0.12410730003009302,0.20696407313690671
35,4,2,0.21874488217442992,0.12625706925869346,0.1725009757165617
36,1,1,21.899419233745416,21.52847491997996,21.713947076862688
37,0,1,0.16185120550110668,0.12150749976640818,0.14167935263375742
38,1,1,0.095285721882065855,0.15775875028260783,0.12652223608233684
39,3,2,0.013285569341508209,0.0040550811873665566,0.008670325264437383
40,2,1,0.011443976346357625,0.064400296740201701,0.037922136543279666
41,3,2,0.15284593302029498,0.14227765609012857,0.14756179455521179
42,2,1,-0.033075163795268314,-0.11510768557221583,-0.07409142468374208
43,0,1,0.023482213687962879,-0.063717705672089425,-0.020117745992063271
44,5,2,1.4971778514545804,1.7103589552945864,1.6037684033745834
45,0,1,0.06781053521455048,0.054394061417960229,0.061102298316255355
46,0,1,0.001716647541835703,0.043162950522834552,0.022439799032335127
47,5,2,-0.093567038991762136,0.020392638434637698,-0.036587200278562215
48,5,2,0.17790266623203496,-0.028253732147415528,0.074824467042309717
49,1,1,-0.066528525245954706,-0.018958466400564526,-0.04274349582325962
50,2,1,0.11104815687229752,0.1955359550995249,0.15329205598591122
51,1,1,0.093670138008702608,0.18302665499151496,0.13834839650010877
52,1,1,-0.016813919301021975,-0.075211998640447336,-0.046012958970734652
53,4,2,0.09424620954737313,0.049925706250066676,0.07208595789871991
54,1,1,0.056639830581508122,0.25895461939949904,0.15779722499050358
