null,outer_fold,rank,count
pairing,0,1,983
pairing,0,2,373
pairing,0,3,157
pairing,0,5,168
pairing,0,8,105
pairing,0,13,89
pairing,0,21,81
pairing,0,34,43
pairing,1,1,1028
pairing,1,2,360
pairing,1,3,168
pairing,1,5,132
pairing,1,8,92
pairing,1,13,81
pairing,1,21,73
pairing,1,34,65
pairing,2,1,1028
pairing,2,2,348
pairing,2,3,161
pairing,2,5,152
pairing,2,8,99
pairing,2,13,101
pairing,2,21,71
pairing,2,34,39
pairing,3,1,1018
pairing,3,2,344
pairing,3,3,170
pairing,3,5,151
pairing,3,8,100
pairing,3,13,89
pairing,3,21,71
pairing,3,34,56
pairing,4,1,1008
pairing,4,2,344
pairing,4,3,160
pairing,4,5,131
pairing,4,8,131
pairing,4,13,96
pairing,4,21,78
pairing,4,34,51
pairing,5,1,1022
pairing,5,2,309
pairing,5,3,183
pairing,5,5,156
pairing,5,8,117
pairing,5,13,95
pairing,5,21,70
pairing,5,34,47
class,0,1,886
class,0,2,354
class,0,3,175
class,0,5,143
class,0,8,162
class,0,13,118
class,0,21,89
class,0,34,72
class,1,1,934
class,1,2,316
class,1,3,171
class,1,5,178
class,1,8,136
class,1,13,99
class,1,21,93
class,1,34,72
class,2,1,863
class,2,2,381
class,2,3,168
class,2,5,192
class,2,8,126
class,2,13,102
class,2,21,91
class,2,34,76
class,3,1,924
class,3,2,332
class,3,3,192
class,3,5,169
class,3,8,135
class,3,13,107
class,3,21,88
class,3,34,52
class,4,1,873
class,4,2,398
class,4,3,165
class,4,5,170
class,4,8,129
class,4,13,114
class,4,21,85
class,4,34,65
class,5,1,894
class,5,2,352
class,5,3,197
class,5,5,171
class,5,8,151
class,5,13,100
class,5,21,77
class,5,34,57
