subject,outer_fold,rank,delta_session0_pca,delta_session1_pca,delta_average
1,2,1,0.35293471549826783,0.11072148568943951,0.23182810059385367
2,3,1,0.20951179873473824,0.26035274253095608,0.23493227063284716
3,4,1,2.6556598825709545,3.1044158495956475,2.8800378660833008
4,0,1,0.71434722502040182,0.75301374649940844,0.73368048575990508
5,5,1,1.9899170748885153,1.7249733826614966,1.8574452287750058
6,5,1,0.045213535304104754,-0.075860487115789299,-0.015323475905842272
7,4,1,-0.31999994630662171,-0.34129641055034921,-0.33064817842848548
8,2,1,0.0022975579907514795,-0.0050959664322246826,-0.0013992042207366016
9,2,1,0.22215640353583949,0.17429464373024534,0.19822552363304241
10,0,1,-0.0082380224574517928,0.291964178725792,0.1418630781341701
11,0,1,1.6040450349746611,1.285439743713058,1.4447423893438596
12,3,1,0.30058236181294118,0.17149334363117752,0.23603785272205935
13,3,1,0.28650745184328175,0.035275195987537707,0.16089132391540972
14,2,1,0.2090746111411273,0.14545165335601565,0.17726313224857149
15,4,1,0.60567210624442758,0.49707533043248497,0.55137371833845628
16,1,1,-0.023401797280259554,-0.6345365192304071,-0.32896915825533335
17,2,1,0.021633160192954654,0.14110713223211147,0.081370146212533065
18,0,1,0.8033380909119916,2.6114289128703736,1.7073835018911825
19,2,1,0.40436967889659381,0.35105782417733222,0.37771375153696302
20,3,1,0.040516734014590348,0.10843008778503802,0.074473410899814185
21,3,1,3.4276357164013715,2.8472034422525145,3.1374195793269433
22,4,1,-0.12268012426675551,-0.18596903191979036,-0.15432457809327293
23,4,1,2.8258629710815533,2.5802384002474232,2.703050685664488
24,5,1,0.3485060340463097,0.36858593695444469,0.3585459855003772
25,3,1,0.52107835286138282,1.1094822260835699,0.81528028947247644
26,4,1,0.31541250805223625,0.38115711068441616,0.34828480936832618
27,5,1,0.43113864841508276,0.39181056879592624,0.4114746086055045
28,5,1,0.94240254068931839,0.58049244832465785,0.76144749450698812
29,1,1,0.39020423375289465,0.86604954862333994,0.62812689118811726
30,1,1,-0.0011079013544766231,-0.41699499249218602,-0.20905144692333133
31,0,1,0.93963957637997808,0.19906548321039308,0.56935252979518558
32,3,1,2.8841224476282799,2.4156897888143618,2.6499061182213208
33,4,1,2.7526390195534525,3.041884906554384,2.8972619630539183
34,5,1,0.43955586546566972,0.37752166319201369,0.40853876432884173
35,4,1,0.83488149504083986,0.97342670834584322,0.90415410169334154
36,1,1,4.7249238854815321,3.8298520577117192,4.2773879715966254
37,0,1,2.2364530349649847,3.7266011251106019,2.9815270800377931
38,1,1,0.27283662318320123,0.79937024655041367,0.53610343486680745
39,3,1,0.42057801257068445,0.40894132521771398,0.41475966889419924
40,2,1,0.94305009777657167,0.90011693153789896,0.92158351465723531
41,3,1,1.0282831248053743,0.77518257140080538,0.90173284810308985
42,2,1,0.1397970466226387,-0.0027676635649076294,0.068514691528865537
43,0,1,0.15395875146009136,0.0063583516651367009,0.080158551562614033
44,5,1,4.1099785378249276,3.9459913973476595,4.0279849675862938
45,0,1,0.9913889379372085,2.3934794741062229,1.6924342060217157
46,0,1,-0.049400590675053736,0.11135718809359901,0.030978298709272638
47,5,1,-0.33189838722160203,-0.25679509410166479,-0.29434674066163341
48,5,1,0.089236241962434348,0.24802433209474478,0.16863028702858956
49,1,1,0.015121159641413848,0.023598197940125777,0.019359678790769812
50,2,1,0.81762775032277935,0.57122035671494154,0.69442405351886038
51,1,1,0.36295294109876408,0.074372505959530766,0.21866272352914742
52,1,1,0.0031396128815779512,-0.026705581278812257,-0.011782984198617154
53,4,1,0.15466167393902727,0.19642774376037392,0.17554470884970058
54,1,1,0.47193626558714147,0.23071216246551457,0.35132421402632802
