outer_fold,role,subject
0,train,1
0,train,2
0,train,3
0,train,5
0,train,6
0,train,7
0,train,8
0,train,9
0,train,12
0,train,13
0,train,14
0,train,15
0,train,16
0,train,17
0,train,19
0,train,20
0,train,21
0,train,22
0,train,23
0,train,24
0,train,25
0,train,26
0,train,27
0,train,28
0,train,29
0,train,30
0,train,32
0,train,33
0,train,34
0,train,35
0,train,36
0,train,38
0,train,39
0,train,40
0,train,41
0,train,42
0,train,44
0,train,47
0,train,48
0,train,49
0,train,50
0,train,51
0,train,52
0,train,53
0,train,54
0,test,4
0,test,10
0,test,11
0,test,18
0,test,31
0,test,37
0,test,43
0,test,45
0,test,46
1,train,1
1,train,2
1,train,3
1,train,4
1,train,5
1,train,6
1,train,7
1,train,8
1,train,9
1,train,10
1,train,11
1,train,12
1,train,13
1,train,14
1,train,15
1,train,17
1,train,18
1,train,19
1,train,20
1,train,21
1,train,22
1,train,23
1,train,24
1,train,25
1,train,26
1,train,27
1,train,28
1,train,31
1,train,32
1,train,33
1,train,34
1,train,35
1,train,37
1,train,39
1,train,40
1,train,41
1,train,42
1,train,43
1,train,44
1,train,45
1,train,46
1,train,47
1,train,48
1,train,50
1,train,53
1,test,16
1,test,29
1,test,30
1,test,36
1,test,38
1,test,49
1,test,51
1,test,52
1,test,54
2,train,2
2,train,3
2,train,4
2,train,5
2,train,6
2,train,7
2,train,10
2,train,11
2,train,12
2,train,13
2,train,15
2,train,16
2,train,18
2,train,20
2,train,21
2,train,22
2,train,23
2,train,24
2,train,25
2,train,26
2,train,27
2,train,28
2,train,29
2,train,30
2,train,31
2,train,32
2,train,33
2,train,34
2,train,35
2,train,36
2,train,37
2,train,38
2,train,39
2,train,41
2,train,43
2,train,44
2,train,45
2,train,46
2,train,47
2,train,48
2,train,49
2,train,51
2,train,52
2,train,53
2,train,54
2,test,1
2,test,8
2,test,9
2,test,14
2,test,17
2,test,19
2,test,40
2,test,42
2,test,50
3,train,1
3,train,3
3,train,4
3,train,5
3,train,6
3,train,7
3,train,8
3,train,9
3,train,10
3,train,11
3,train,14
3,train,15
3,train,16
3,train,17
3,train,18
3,train,19
3,train,22
3,train,23
3,train,24
3,train,26
3,train,27
3,train,28
3,train,29
3,train,30
3,train,31
3,train,33
3,train,34
3,train,35
3,train,36
3,train,37
3,train,38
3,train,40
3,train,42
3,train,43
3,train,44
3,train,45
3,train,46
3,train,47
3,train,48
3,train,49
3,train,50
3,train,51
3,train,52
3,train,53
3,train,54
3,test,2
3,test,12
3,test,13
3,test,20
3,test,21
3,test,25
3,test,32
3,test,39
3,test,41
4,train,1
4,train,2
4,train,4
4,train,5
4,train,6
4,train,8
4,train,9
4,train,10
4,train,11
4,train,12
4,train,13
4,train,14
4,train,16
4,train,17
4,train,18
4,train,19
4,train,20
4,train,21
4,train,24
4,train,25
4,train,27
4,train,28
4,train,29
4,train,30
4,train,31
4,train,32
4,train,34
4,train,36
4,train,37
4,train,38
4,train,39
4,train,40
4,train,41
4,train,42
4,train,43
4,train,44
4,train,45
4,train,46
4,train,47
4,train,48
4,train,49
4,train,50
4,train,51
4,train,52
4,train,54
4,test,3
4,test,7
4,test,15
4,test,22
4,test,23
4,test,26
4,test,33
4,test,35
4,test,53
5,train,1
5,train,2
5,train,3
5,train,4
5,train,7
5,train,8
5,train,9
5,train,10
5,train,11
5,train,12
5,train,13
5,train,14
5,train,15
5,train,16
5,train,17
5,train,18
5,train,19
5,train,20
5,train,21
5,train,22
5,train,23
5,train,25
5,train,26
5,train,29
5,train,30
5,train,31
5,train,32
5,train,33
5,train,35
5,train,36
5,train,37
5,train,38
5,train,39
5,train,40
5,train,41
5,train,42
5,train,43
5,train,45
5,train,46
5,train,49
5,train,50
5,train,51
5,train,52
5,train,53
5,train,54
5,test,5
5,test,6
5,test,24
5,test,27
5,test,28
5,test,34
5,test,44
5,test,47
5,test,48
