subject,outer_fold,session,delta_forward,delta_reverse,delta_average
1,2,0,0.044760478996629258,0.36018710007261101,0.20247378953462014
2,3,0,0.58503561241187918,0.59313601576250263,0.58908581408719085
3,4,0,0.98367838516741524,0.70417365680945088,0.84392602098843306
4,0,0,0.23449242574348497,0.36142164010014471,0.29795703292181486
5,5,0,0.52574164684947988,0.63408021914440393,0.57991093299694185
6,5,0,0.37220338692437954,0.23678273157620036,0.30449305925028997
7,4,0,0.62186816965168679,0.52235664696373263,0.57211240830770971
8,2,0,0.012269319233718462,0.046832665317874056,0.029550992275796259
9,2,0,0.2067713953279022,-0.021301739587628071,0.092734827870137065
10,0,0,0.17522933894762183,0.38046883247381785,0.27784908571071987
11,0,0,0.48927468922380152,0.42043113767719453,0.45485291345049805
12,3,0,0.35617137843701885,0.3982967749189078,0.37723407667796333
13,3,0,0.64892701609654502,0.51186625676764419,0.5803966364320946
14,2,0,0.43066750740517434,0.51744206169643703,0.47405478455080569
15,4,0,0.38866548599677453,0.42680821786222828,0.40773685192950138
16,1,0,0.50857907258620472,0.68123367232447973,0.59490637245534228
17,2,0,0.24543043376204182,0.34996852898782099,0.29769948137493141
18,0,0,0.91854573243237858,0.84980085897338387,0.88417329570288117
19,2,0,0.27227026746038041,0.12223860023272697,0.1972544338465537
20,3,0,0.16009377194598967,0.16533684107326255,0.16271530650962612
21,3,0,0.77396976909926762,0.87494839727942531,0.82445908318934646
22,4,0,0.67750841178421295,0.40881896475701901,0.54316368827061601
23,4,0,0.66754401948394793,0.59754178054792151,0.63254290001593472
24,5,0,0.28799587853053416,0.32078808021541971,0.30439197937297691
25,3,0,0.45834127654088913,0.4536663097301511,0.45600379313552009
26,4,0,0.58627120918502085,0.69001027942294924,0.63814074430398504
27,5,0,0.25765963997016211,0.05808467148195684,0.15787215572605948
28,5,0,0.66090508510432189,0.75764670584225158,0.70927589547328673
29,1,0,0.80857192787535803,0.91899764968189268,0.86378478877862541
30,1,0,0.20452711962110648,0.32724667221550141,0.26588689591830394
31,0,0,0.39407746457583392,0.083786702738003982,0.23893208365691895
