key,shape,dtype
subjects,62,int16
groups,62,int8
class_names,4,<U16
sessions,2,int8
channels,20,<U8
primary__F__U,62x2x4x20x20,float64
primary__F__proportions,62x2x4,float64
primary__F__counts,62x2x4,int64
primary__F__class_means,62x2x4x20x20,float64
primary__F__marginal,62x2x20x20,float64
primary__A__U,62x2x4x20x20,float64
primary__A__proportions,62x2x4,float64
primary__A__counts,62x2x4,int64
primary__A__class_means,62x2x4x20x20,float64
primary__A__marginal,62x2x20x20,float64
primary__B__U,62x2x4x20x20,float64
primary__B__proportions,62x2x4,float64
primary__B__counts,62x2x4,int64
primary__B__class_means,62x2x4x20x20,float64
primary__B__marginal,62x2x20x20,float64
pretarget__F__U,62x2x4x20x20,float64
pretarget__F__proportions,62x2x4,float64
pretarget__F__counts,62x2x4,int64
pretarget__F__class_means,62x2x4x20x20,float64
pretarget__F__marginal,62x2x20x20,float64
pretarget__A__U,62x2x4x20x20,float64
pretarget__A__proportions,62x2x4,float64
pretarget__A__counts,62x2x4,int64
pretarget__A__class_means,62x2x4x20x20,float64
pretarget__A__marginal,62x2x20x20,float64
pretarget__B__U,62x2x4x20x20,float64
pretarget__B__proportions,62x2x4,float64
pretarget__B__counts,62x2x4,int64
pretarget__B__class_means,62x2x4x20x20,float64
pretarget__B__marginal,62x2x20x20,float64
