direction,fold,name,n_matrices,karcher_residual,minimum_eigenvalue,maximum_eigenvalue,condition_number,input_session,output_session,train_subject_count,test_subject_count,heldout_subjects_excluded_from_m0,heldout_subjects_excluded_from_d_bar,q_uses_labels,d_zero_sum_max_error,delta_source_zero_sum_max_error,delta_target_zero_sum_max_error
FORWARD,1,outer1_FORWARD_M0,52,2.9508000141507135e-10,3.04681292639298e-13,4.452175628498318e-11,146.1256642943648,2,3,52,10,True,True,False,1.840898052222032e-15,1.803911826462844e-15,1.90659348852419e-15
REVERSE,1,outer1_REVERSE_M0,52,2.9508000141507135e-10,3.04681292639298e-13,4.452175628498318e-11,146.1256642943648,3,2,52,10,True,True,False,2.085615306901457e-15,2.0244819290287617e-15,1.5934445115919815e-15
FORWARD,2,outer2_FORWARD_M0,52,2.9664650324609653e-10,3.2353043983123027e-13,4.722259334361435e-11,145.9602792499155,2,3,52,10,True,True,False,2.1392752402423617e-15,2.171978799820505e-15,1.4910090344302134e-15
REVERSE,2,outer2_REVERSE_M0,52,2.9664650324609653e-10,3.2353043983123027e-13,4.722259334361435e-11,145.9602792499155,3,2,52,10,True,True,False,1.6878199749898808e-15,1.64781198110569e-15,1.3230917806566453e-15
FORWARD,3,outer3_FORWARD_M0,52,3.7857364279370703e-10,3.396505096195502e-13,4.903216129683223e-11,144.36062925904102,2,3,52,10,True,True,False,2.1578063475554476e-15,2.119504572511287e-15,1.7828094214690897e-15
REVERSE,3,outer3_REVERSE_M0,52,3.7857364279370703e-10,3.396505096195502e-13,4.903216129683223e-11,144.36062925904102,3,2,52,10,True,True,False,1.7616080598286628e-15,1.7224996751399999e-15,1.803069706080483e-15
FORWARD,4,outer4_FORWARD_M0,51,3.5328440348970693e-10,3.440209434412136e-13,5.001892130663888e-11,145.3949890559094,2,3,51,11,True,True,False,2.2782467977794986e-15,2.3178397836098853e-15,1.9059118785062874e-15
REVERSE,4,outer4_REVERSE_M0,51,3.5328440348970693e-10,3.440209434412136e-13,5.001892130663888e-11,145.3949890559094,3,2,51,11,True,True,False,1.4961484796411246e-15,1.4826700387047698e-15,1.8380558420433482e-15
FORWARD,5,outer5_FORWARD_M0,51,1.7284531993930778e-10,3.2503607561251245e-13,4.695174532679256e-11,144.45087437852737,2,3,51,11,True,True,False,1.7453570490714839e-15,1.7744265142247295e-15,1.941967982011638e-15
REVERSE,5,outer5_REVERSE_M0,51,1.7284531993930778e-10,3.2503607561251245e-13,4.695174532679256e-11,144.45087437852737,3,2,51,11,True,True,False,1.4853054560237347e-15,1.460698039206771e-15,1.3512321201961874e-15
FORWARD,6,outer6_FORWARD_M0,52,1.6673009330515964e-10,3.3336942049337017e-13,4.8512779912231495e-11,145.5225852462262,2,3,52,10,True,True,False,1.9784652431068096e-15,1.967706440604557e-15,1.343611626745896e-15
REVERSE,6,outer6_REVERSE_M0,52,1.6673009330515964e-10,3.3336942049337017e-13,4.8512779912231495e-11,145.5225852462262,3,2,52,10,True,True,False,2.1221443826528684e-15,2.0787585503219524e-15,1.2719908185425085e-15
