omitted_subject,pooled_r2
1,-0.002920400069551965
2,-0.0029053172550836948
3,-0.0026868214324677897
4,-0.002889150680099428
5,-0.0029098521323924764
6,-0.0031166813678806804
7,-0.002876623558387248
8,-0.0032163494881627397
9,-0.0028578369934857406
10,-0.0030043616366319803
11,-0.0028937934383272967
12,-0.0028995324727971727
13,-0.0031835770333681346
14,-0.0031163181589957123
15,-0.002877964152506074
16,-0.0028839030571634616
17,-0.0023337951031134896
18,-0.002655833518681927
19,-0.0028892143595695696
20,-0.0028612154181022476
21,-0.0030078517416411987
22,-0.0028967620775188774
23,-0.0026288184270326642
24,-0.002823727451984226
25,-0.0028818946466750983
26,-0.0029428625592082813
27,-0.0023286896513692312
28,-0.002891237348678022
29,-0.002438135072461378
30,-0.0024539745376328526
31,-0.002975360869191812
32,-0.002742426860957936
33,-0.0029019638754168575
34,-0.0028874875205870953
35,-0.0026066623303040437
36,-0.0028425907714424437
37,-0.0029438825656487033
38,-0.002825477414587274
39,-0.002893980438863686
40,-0.0026247442954183686
41,-0.002884509686061465
42,-0.002825917836825953
43,-0.002814746343975383
44,-0.002891847487707988
45,-0.002960886127159279
46,-0.0028893706169188516
47,-0.0028766844765255595
48,-0.0029439525215220197
49,-0.002881954998144698
50,-0.002904456110393916
51,-0.0028957024533364795
52,-0.003546504812723228
53,-0.002911319622050046
54,-0.0029168303596238676
55,-0.002650728657128232
56,-0.0029170129264175504
57,-0.002857239587549909
58,-0.0028986252426441705
59,-0.002739263624113919
60,-0.0030367396679631398
61,-0.002890754014427177
62,-0.002881766016508136
