session,fold_f,fold_g,absolute_cosine
0,0,0,0.99999999999999845
0,0,1,0.97673340236604733
0,0,2,0.96644629287669381
0,0,3,0.97537557635234462
0,0,4,0.95807831234543706
0,0,5,0.96934110078232105
0,1,0,0.97673340236604733
0,1,1,1.0000000000000004
0,1,2,0.98847593336603445
0,1,3,0.98605910100161964
0,1,4,0.98200935399721756
0,1,5,0.9845586516505016
0,2,0,0.96644629287669381
0,2,1,0.98847593336603445
0,2,2,0.99999999999999956
0,2,3,0.98435187049979234
0,2,4,0.98672227737437379
0,2,5,0.98500009602787941
0,3,0,0.97537557635234462
0,3,1,0.98605910100161964
0,3,2,0.98435187049979234
0,3,3,1.0000000000000016
0,3,4,0.97614949282504271
0,3,5,0.9769835133127881
0,4,0,0.95807831234543706
0,4,1,0.98200935399721756
0,4,2,0.98672227737437379
0,4,3,0.97614949282504271
0,4,4,1.0000000000000018
0,4,5,0.97824192971650292
0,5,0,0.96934110078232105
0,5,1,0.9845586516505016
0,5,2,0.98500009602787941
0,5,3,0.9769835133127881
0,5,4,0.97824192971650292
0,5,5,1.0000000000000002
1,0,0,0.99999999999999933
1,0,1,0.98581591904847765
1,0,2,0.98152858088897266
1,0,3,0.98798102740066973
1,0,4,0.97059836735301697
1,0,5,0.98279059413246506
1,1,0,0.98581591904847765
1,1,1,0.99999999999999956
1,1,2,0.98906892363590027
1,1,3,0.98861291244357385
1,1,4,0.97945672610353052
1,1,5,0.98637689662338435
1,2,0,0.98152858088897266
1,2,1,0.98906892363590027
1,2,2,1.0000000000000009
1,2,3,0.98363431729609152
1,2,4,0.9839688625601748
1,2,5,0.98252864850974642
1,3,0,0.98798102740066973
1,3,1,0.98861291244357385
1,3,2,0.98363431729609152
1,3,3,1.0000000000000013
1,3,4,0.97168621710864
1,3,5,0.98061681582815829
1,4,0,0.97059836735301697
1,4,1,0.97945672610353052
1,4,2,0.9839688625601748
1,4,3,0.97168621710864
1,4,4,1
1,4,5,0.97021903703209411
1,5,0,0.98279059413246506
1,5,1,0.98637689662338435
1,5,2,0.98252864850974642
1,5,3,0.98061681582815829
1,5,4,0.97021903703209411
1,5,5,1.0000000000000004
cross_view,0,0,0.8678947428485887
cross_view,1,1,0.89513418889624097
cross_view,2,2,0.921247054694043
cross_view,3,3,0.89863182925541452
cross_view,4,4,0.91812473231391323
cross_view,5,5,0.92001947860610167
