outer_fold,session,rank,channel_i,channel_j,value,absolute_value
0,0,1,C2,C4,0.1648476368340297,0.1648476368340297
0,0,2,C3,C1,-0.15130733889334583,0.15130733889334583
0,0,3,C4,CP4,0.13879024518707703,0.13879024518707703
0,0,4,C3,CP3,-0.12131810083498183,0.12131810083498183
0,0,5,FC2,CP4,-0.081938013285387148,0.081938013285387148
0,0,6,CP2,CP4,0.067522721278287429,0.067522721278287429
0,0,7,C4,C6,0.063585692269447963,0.063585692269447963
0,0,8,FC2,FC4,0.063302297249990258,0.063302297249990258
0,0,9,C6,CP4,0.062761055855623624,0.062761055855623624
0,0,10,FC1,CP3,0.062290020541975501,0.062290020541975501
0,0,11,FC2,C3,0.061933804273105665,0.061933804273105665
0,0,12,Cz,C4,-0.061897049263520909,0.061897049263520909
0,0,13,FC1,C4,-0.060725365030117773,0.060725365030117773
0,0,14,FC3,FC1,-0.060228471216974243,0.060228471216974243
0,0,15,C3,Cz,0.06021005039704394,0.06021005039704394
0,0,16,CP3,CP1,-0.05836404257663752,0.05836404257663752
0,0,17,C4,CPz,-0.055937473219403101,0.055937473219403101
0,0,18,C4,CP2,0.053514299409482415,0.053514299409482415
0,0,19,CP4,CP6,0.05325589969748043,0.05325589969748043
0,0,20,FC2,CP2,-0.052994924527234394,0.052994924527234394
0,1,1,C2,C4,0.18699043617523461,0.18699043617523461
0,1,2,C3,C1,-0.16352543084430687,0.16352543084430687
0,1,3,C4,CP4,0.11842584262830898,0.11842584262830898
0,1,4,C3,CP3,-0.11038818968224927,0.11038818968224927
0,1,5,CP2,CP4,0.093629526498110988,0.093629526498110988
0,1,6,C3,Cz,0.082673624085764452,0.082673624085764452
0,1,7,FC1,C4,-0.072287077836271973,0.072287077836271973
0,1,8,Cz,C4,-0.069556746335795769,0.069556746335795769
0,1,9,FC2,CP4,-0.069289660813096413,0.069289660813096413
0,1,10,C4,CPz,-0.063203959689359768,0.063203959689359768
0,1,11,C5,C3,-0.062443033078405145,0.062443033078405145
0,1,12,C3,CPz,0.061829048902674912,0.061829048902674912
0,1,13,FC3,FC1,-0.061392492326261178,0.061392492326261178
0,1,14,FC1,CP3,0.060848047514443213,0.060848047514443213
0,1,15,FC2,C3,0.056930269877070637,0.056930269877070637
0,1,16,FC2,FC4,0.055657888863450959,0.055657888863450959
0,1,17,CP4,CP6,0.053665733097784878,0.053665733097784878
0,1,18,FC4,C4,0.052307453039808306,0.052307453039808306
0,1,19,C4,CP2,0.052189399039500241,0.052189399039500241
0,1,20,FC2,C6,-0.049810548216371549,0.049810548216371549
1,0,1,C3,C1,-0.17444258866451015,0.17444258866451015
1,0,2,C2,C4,0.16291691281381335,0.16291691281381335
1,0,3,C4,CP4,0.12873476977676354,0.12873476977676354
1,0,4,C3,CP3,-0.12772556301199789,0.12772556301199789
1,0,5,C4,C6,0.091197027798290892,0.091197027798290892
1,0,6,FC2,CP4,-0.076431322854224354,0.076431322854224354
1,0,7,FC2,C3,0.073465918314455397,0.073465918314455397
1,0,8,FC2,FC4,0.069027004978213291,0.069027004978213291
1,0,9,C6,CP4,0.066616771932729968,0.066616771932729968
1,0,10,FC3,FC1,-0.065692280367683389,0.065692280367683389
1,0,11,FC1,CP3,0.065217859610065085,0.065217859610065085
1,0,12,FC1,C4,-0.063234856507769902,0.063234856507769902
1,0,13,C4,CPz,-0.056889307122624251,0.056889307122624251
1,0,14,CP2,CP4,0.05586218034467267,0.05586218034467267
1,0,15,C3,CP1,-0.055531206825105352,0.055531206825105352
1,0,16,CP3,CP1,-0.055240433911174419,0.055240433911174419
1,0,17,C3,Cz,0.054608997864758174,0.054608997864758174
1,0,18,Cz,C4,-0.054508085641810922,0.054508085641810922
1,0,19,C4,CP1,-0.0519824188621777,0.0519824188621777
1,0,20,FC2,CP2,-0.051137098493060543,0.051137098493060543
1,1,1,C2,C4,0.17587637578917056,0.17587637578917056
1,1,2,C3,C1,-0.16442173439413033,0.16442173439413033
1,1,3,C4,CP4,0.10471382916059355,0.10471382916059355
1,1,4,C3,CP3,-0.096153025974041351,0.096153025974041351
1,1,5,CP2,CP4,0.086209232337320502,0.086209232337320502
1,1,6,FC1,C4,-0.082033027240232551,0.082033027240232551
1,1,7,C3,Cz,0.077344524844037643,0.077344524844037643
1,1,8,FC1,CP3,0.074322397903463067,0.074322397903463067
1,1,9,FC2,FC4,0.074301216299606204,0.074301216299606204
1,1,10,FC2,CP4,-0.074121293071679611,0.074121293071679611
1,1,11,Cz,C4,-0.069057086805858411,0.069057086805858411
1,1,12,FC3,FC1,-0.067856761126731654,0.067856761126731654
1,1,13,FC4,C4,0.066211477918396003,0.066211477918396003
1,1,14,C4,C6,0.06139911902362765,0.06139911902362765
1,1,15,FC4,CP4,-0.061276008164137127,0.061276008164137127
1,1,16,C5,C3,-0.059895076341961916,0.059895076341961916
1,1,17,FC2,C3,0.057894444143534569,0.057894444143534569
1,1,18,CP4,CP6,0.054990040595415568,0.054990040595415568
1,1,19,FC5,FC3,-0.052440581988207349,0.052440581988207349
1,1,20,C4,CPz,-0.052263690925418549,0.052263690925418549
2,0,1,C3,C1,-0.16909874532298255,0.16909874532298255
2,0,2,C2,C4,0.1642332156657893,0.1642332156657893
2,0,3,C4,CP4,0.14537510944300666,0.14537510944300666
2,0,4,C3,CP3,-0.11697946451554857,0.11697946451554857
2,0,5,C4,C6,0.083882548778923594,0.083882548778923594
2,0,6,FC2,CP4,-0.076118402426653728,0.076118402426653728
2,0,7,FC2,C3,0.070731877577431282,0.070731877577431282
2,0,8,CP3,CP1,-0.067058861650331411,0.067058861650331411
2,0,9,FC2,FC4,0.066507028163692999,0.066507028163692999
2,0,10,FC1,C4,-0.065717970312350105,0.065717970312350105
2,0,11,Cz,C4,-0.06216242947979219,0.06216242947979219
2,0,12,FC1,CP3,0.061384861799406935,0.061384861799406935
2,0,13,FC3,FC1,-0.059393772322032239,0.059393772322032239
2,0,14,C6,CP4,0.058311536923053575,0.058311536923053575
2,0,15,CP2,CP4,0.056766475591294469,0.056766475591294469
2,0,16,C3,Cz,0.056374391913203703,0.056374391913203703
2,0,17,C4,CPz,-0.056001014955513205,0.056001014955513205
2,0,18,C4,CP1,-0.055627185224545614,0.055627185224545614
2,0,19,FC2,CP2,-0.05485749976620375,0.05485749976620375
2,0,20,C3,CPz,0.054686070621931933,0.054686070621931933
2,1,1,C2,C4,0.1838485994576842,0.1838485994576842
2,1,2,C3,C1,-0.16291648005843981,0.16291648005843981
2,1,3,C4,CP4,0.11865348529254828,0.11865348529254828
2,1,4,C3,CP3,-0.091860155762891915,0.091860155762891915
2,1,5,FC1,C4,-0.087890874012811718,0.087890874012811718
2,1,6,Cz,C4,-0.081942603545322262,0.081942603545322262
2,1,7,FC2,CP4,-0.076918150823171411,0.076918150823171411
2,1,8,FC1,CP3,0.070913043302853002,0.070913043302853002
2,1,9,CP2,CP4,0.070430780427070586,0.070430780427070586
2,1,10,C3,Cz,0.0698147967322542,0.0698147967322542
2,1,11,FC3,FC1,-0.067045091621985534,0.067045091621985534
2,1,12,FC4,C4,0.066484033735891179,0.066484033735891179
2,1,13,C4,C6,0.066003236643780855,0.066003236643780855
2,1,14,C4,CPz,-0.061053417406711878,0.061053417406711878
2,1,15,FC2,FC4,0.061050951165126759,0.061050951165126759
2,1,16,FC4,CP4,-0.060598927802916043,0.060598927802916043
2,1,17,CP4,CP6,0.059627554345731686,0.059627554345731686
2,1,18,C5,C3,-0.058906156099550133,0.058906156099550133
2,1,19,FC5,FC3,-0.058749691484371654,0.058749691484371654
2,1,20,C3,CPz,0.053898151707524301,0.053898151707524301
3,0,1,C3,C1,-0.1716439202180311,0.1716439202180311
3,0,2,C2,C4,0.16147732362940587,0.16147732362940587
3,0,3,C4,CP4,0.15186323979687089,0.15186323979687089
3,0,4,C3,CP3,-0.11798651998441476,0.11798651998441476
3,0,5,FC2,C3,0.073748234867065596,0.073748234867065596
3,0,6,C4,C6,0.070691427717460384,0.070691427717460384
3,0,7,FC2,CP4,-0.068685611620989434,0.068685611620989434
3,0,8,FC3,C3,-0.067317534656178055,0.067317534656178055
3,0,9,FC3,FC1,-0.065808718736828767,0.065808718736828767
3,0,10,FC4,C4,0.064153650036063312,0.064153650036063312
3,0,11,FC1,C4,-0.063855978886186604,0.063855978886186604
3,0,12,FC1,CP3,0.062947664651967078,0.062947664651967078
3,0,13,CP2,CP4,0.061880524503005005,0.061880524503005005
3,0,14,Cz,C4,-0.061267047671716826,0.061267047671716826
3,0,15,C3,Cz,0.06094785594505997,0.06094785594505997
3,0,16,C6,CP4,0.058592353528964213,0.058592353528964213
3,0,17,C4,CP2,0.058222401739047504,0.058222401739047504
3,0,18,C4,CPz,-0.057846564550026812,0.057846564550026812
3,0,19,C2,CP2,0.052995638437137775,0.052995638437137775
3,0,20,CP3,CP1,-0.052273178329856868,0.052273178329856868
3,1,1,C2,C4,0.17543373937881504,0.17543373937881504
3,1,2,C3,C1,-0.16404299143541506,0.16404299143541506
3,1,3,C4,CP4,0.10870816140871949,0.10870816140871949
3,1,4,C3,CP3,-0.10387904028350026,0.10387904028350026
3,1,5,CP2,CP4,0.094240872195262851,0.094240872195262851
3,1,6,C3,Cz,0.088824937518979047,0.088824937518979047
3,1,7,FC1,C4,-0.078723206594922879,0.078723206594922879
3,1,8,FC3,C3,-0.072641667664735413,0.072641667664735413
3,1,9,FC3,FC1,-0.072637692872598192,0.072637692872598192
3,1,10,FC1,CP3,0.071647046762682715,0.071647046762682715
3,1,11,Cz,C4,-0.070720822991475432,0.070720822991475432
3,1,12,C5,C3,-0.06933239922472996,0.06933239922472996
3,1,13,C4,CP2,0.063721180001849523,0.063721180001849523
3,1,14,FC2,FC4,0.063333812679828363,0.063333812679828363
3,1,15,FC2,CP4,-0.061537900784168112,0.061537900784168112
3,1,16,FC5,FC3,-0.059688596011036724,0.059688596011036724
3,1,17,FC4,C4,0.055949580594890448,0.055949580594890448
3,1,18,FC2,C3,0.055232125160059604,0.055232125160059604
3,1,19,C3,CPz,0.05484487593230513,0.05484487593230513
3,1,20,C1,C4,-0.051179401809847688,0.051179401809847688
4,0,1,C3,C1,-0.16136859539725532,0.16136859539725532
4,0,2,C2,C4,0.15508354501249894,0.15508354501249894
4,0,3,C4,CP4,0.15250608338772206,0.15250608338772206
4,0,4,C3,CP3,-0.11070948987292704,0.11070948987292704
4,0,5,C4,C6,0.091026046126049642,0.091026046126049642
4,0,6,FC2,CP4,-0.071171522096707462,0.071171522096707462
4,0,7,CP2,CP4,0.069948419666736095,0.069948419666736095
4,0,8,Cz,C4,-0.069455230873447391,0.069455230873447391
4,0,9,FC1,C4,-0.064333363524601936,0.064333363524601936
4,0,10,C6,CP4,0.063425489735903909,0.063425489735903909
4,0,11,FC3,FC1,-0.063007116288847934,0.063007116288847934
4,0,12,FC2,FC4,0.062937192320589835,0.062937192320589835
4,0,13,C4,CPz,-0.060167941861666956,0.060167941861666956
4,0,14,FC1,CP3,0.058555428433063945,0.058555428433063945
4,0,15,FC2,C3,0.055562287480544828,0.055562287480544828
4,0,16,FC1,C1,-0.052651361585848697,0.052651361585848697
4,0,17,C4,CP1,-0.052046609419185992,0.052046609419185992
4,0,18,CP3,CP1,-0.051291690928260608,0.051291690928260608
4,0,19,C3,Cz,0.050911257611430671,0.050911257611430671
4,0,20,FC2,CP2,-0.048088407015967269,0.048088407015967269
4,1,1,C2,C4,0.19096044216767757,0.19096044216767757
4,1,2,C3,C1,-0.15221414868765953,0.15221414868765953
4,1,3,C4,CP4,0.10478087160594206,0.10478087160594206
4,1,4,FC4,C4,0.09145812229792992,0.09145812229792992
4,1,5,FC1,C4,-0.08579934500604057,0.08579934500604057
4,1,6,C3,CP3,-0.08297957071285135,0.08297957071285135
4,1,7,CP2,CP4,0.080341516074316235,0.080341516074316235
4,1,8,Cz,C4,-0.077835230728442673,0.077835230728442673
4,1,9,FC2,FC4,0.074766419579182425,0.074766419579182425
4,1,10,C4,C6,0.072436615875450569,0.072436615875450569
4,1,11,C3,Cz,0.067835793879539363,0.067835793879539363
4,1,12,FC1,CP3,0.064011410344684175,0.064011410344684175
4,1,13,FC2,CP4,-0.062301526021770512,0.062301526021770512
4,1,14,FC4,CP4,-0.061141161971160249,0.061141161971160249
4,1,15,FC3,C3,-0.058695066208831935,0.058695066208831935
4,1,16,C3,CPz,0.056273911446106877,0.056273911446106877
4,1,17,C4,CPz,-0.056026836200408124,0.056026836200408124
4,1,18,CP4,CP6,0.054120790107814835,0.054120790107814835
4,1,19,C1,C4,-0.051591458153948548,0.051591458153948548
4,1,20,FC3,FC1,-0.05019817732419566,0.05019817732419566
5,0,1,C3,C1,-0.18194855948891167,0.18194855948891167
5,0,2,C2,C4,0.15407870872540705,0.15407870872540705
5,0,3,C4,CP4,0.13814896240390204,0.13814896240390204
5,0,4,C3,CP3,-0.11956333413798027,0.11956333413798027
5,0,5,C4,C6,0.086386942766567443,0.086386942766567443
5,0,6,CP2,CP4,0.080101308464197954,0.080101308464197954
5,0,7,FC2,CP4,-0.075864251230572263,0.075864251230572263
5,0,8,CP3,CP1,-0.071451633200277351,0.071451633200277351
5,0,9,FC3,FC1,-0.071080540557733038,0.071080540557733038
5,0,10,FC1,CP3,0.069455408022788878,0.069455408022788878
5,0,11,FC2,C3,0.068687416465363374,0.068687416465363374
5,0,12,FC1,C4,-0.066333396627355004,0.066333396627355004
5,0,13,C6,CP4,0.064912136499382822,0.064912136499382822
5,0,14,Cz,C4,-0.063083544739325967,0.063083544739325967
5,0,15,C3,CP1,-0.059610815803961464,0.059610815803961464
5,0,16,CP4,CP6,0.059030055765016486,0.059030055765016486
5,0,17,C3,Cz,0.055702187101113652,0.055702187101113652
5,0,18,FC2,CP2,-0.053388623903892665,0.053388623903892665
5,0,19,C4,CP2,0.052242215420509275,0.052242215420509275
5,0,20,C4,CP1,-0.051455340912959571,0.051455340912959571
5,1,1,C2,C4,0.17519175058287209,0.17519175058287209
5,1,2,C3,C1,-0.16321617570827587,0.16321617570827587
5,1,3,C4,CP4,0.11884931496624726,0.11884931496624726
5,1,4,C3,CP3,-0.1082129579613761,0.1082129579613761
5,1,5,CP2,CP4,0.098658459873292803,0.098658459873292803
5,1,6,C5,C3,-0.086151866523528783,0.086151866523528783
5,1,7,Cz,C4,-0.083244513659771258,0.083244513659771258
5,1,8,FC1,C4,-0.077563706674547511,0.077563706674547511
5,1,9,FC2,CP4,-0.075480155496884221,0.075480155496884221
5,1,10,C3,Cz,0.074656072306945598,0.074656072306945598
5,1,11,FC1,CP3,0.073817978352278449,0.073817978352278449
5,1,12,FC3,FC1,-0.069508348202656042,0.069508348202656042
5,1,13,CP4,CP6,0.068581364154003344,0.068581364154003344
5,1,14,C3,CP1,-0.066649567304672627,0.066649567304672627
5,1,15,C4,C6,0.065469145592778083,0.065469145592778083
5,1,16,FC2,FC4,0.065001408634433294,0.065001408634433294
5,1,17,C4,CPz,-0.060652013733498239,0.060652013733498239
5,1,18,FC2,C3,0.059112714200042972,0.059112714200042972
5,1,19,FC4,C4,0.056262829205593883,0.056262829205593883
5,1,20,FC1,CP1,0.052012784786913104,0.052012784786913104
