subject,session,outer_fold,trial_delta,beta,alpha,absolute_error,sign_agreement
1,0,2,0.24943333618972202,0.025679777241787112,0.087806893682831996,0.22375355894793492,True
1,1,2,0.26407637402683926,0.040345043749463044,0.14491663990874609,0.22373133027737621,True
2,0,3,0.21056285888499621,0.007652593296781654,0.023796100766799111,0.20291026558821457,True
2,1,3,0.22059444750626417,0.022697048937913741,0.094013480218964995,0.19789739856835042,True
3,0,4,0.49837399689851836,0.27631012863651339,0.42067195674011126,0.22206386826200497,True
3,1,4,0.56953643774625717,0.34439955414597256,0.65766173547837958,0.22513688360028461,True
4,0,0,0.10563016660023176,-0.096753699677277788,-0.29868757175917959,0.20238386627750954,False
4,1,0,0.039055164173845948,-0.16640360835599297,-0.59300561663912088,0.20545877252983891,False
5,0,5,0.3358995334934054,0.11391541232677831,0.38523330243853859,0.22198412116662708,True
5,1,5,0.33550925777995583,0.11536204688588932,0.37847394140035939,0.22014721089406653,True
6,0,5,0.066538279787410781,-0.14800402562201129,-0.52574768808894556,0.21454230540942207,False
6,1,5,0.12689086737374744,-0.086332044063502242,-0.27279408956695272,0.2132229114372497,False
7,0,4,0.010971744019544264,-0.20149771067185673,-0.47470594546447936,0.21246945469140099,False
7,1,4,0.18493943752069791,-0.034424447610701348,-0.092455693991182003,0.21936388513139926,False
8,0,2,0.1559404726437067,-0.062993233796770798,-0.25272212455734494,0.21893370644047749,False
8,1,2,0.16228866646986345,-0.057275978138901257,-0.26418415227167119,0.21956464460876471,False
9,0,2,0.26141146626816814,0.03898667670623783,0.14257702456730531,0.22242478956193029,True
9,1,2,0.19402233697303584,-0.026882540459909073,-0.10428408940970813,0.2209048774329449,False
10,0,0,0.16735823407968123,-0.038551866067766186,-0.116043076254573,0.20591010014744743,False
10,1,0,0.078487526998130844,-0.13038075626712065,-0.40997803591743631,0.20886828326525148,False
11,0,0,-0.02046944710815244,-0.22112582851266308,-0.74131908380815004,0.20065638140451064,True
11,1,0,-0.026017652293811901,-0.23019471580814035,-0.69627751824456885,0.20417706351432846,True
12,0,3,0.096300368643768855,-0.10421105073131047,-0.34891446670727588,0.20051141937507933,False
12,1,3,0.12268832386947248,-0.072491484922993774,-0.22678926614826006,0.19517980879246627,False
13,0,3,0.088731726588274787,-0.11427912051805322,-0.34944892055022014,0.203010847106328,False
13,1,3,0.048580636071914825,-0.14732265566011177,-0.49239534225353798,0.19590329173202659,False
14,0,2,0.09154666273469296,-0.1249878112303674,-0.40646915594384919,0.21653447396506037,False
14,1,2,0.13837513059467527,-0.080097095354504141,-0.3262628670646005,0.21847222594917942,False
15,0,4,-0.068912977561683159,-0.27640175071634165,-0.58891416273172614,0.2074887731546585,True
15,1,4,0.03992907978639889,-0.17204540551533803,-0.41030405801960124,0.21197448530173693,False
16,0,1,0.10358550103139957,-0.094646871419125464,-0.10898672677044413,0.19823237245052505,False
16,1,1,-0.0060621220987058175,-0.18706490293346617,-0.53205563333941475,0.18100278083476035,True
17,0,2,0.19029218063044859,-0.027801827145877374,-0.095789876331645152,0.21809400777632595,False
17,1,2,0.19568532217407555,-0.023915886804823133,-0.079178666887484303,0.21960120897889868,False
