estimator,session,n,spearman,pearson,raw_r2,nonnegative_r2,mae,normalized_mae,calibration_slope,calibration_intercept,bootstrap_ci_low,bootstrap_ci_high
SOURCE_WITHIN_CORRECTED_PROJECTED_VARIANCE,pooled,108,0.66921207947823824,0.95389194224955021,0.88272074672849954,0.88272074672849954,0.039916535898501873,0.42950593919461705,0.87179957076142045,-0.004162696091033734,0.45985203150114196,0.8220680467789596
SOURCE_WITHIN_CORRECTED_PROJECTED_VARIANCE,0,54,0.62449682863798195,0.92061650045132493,0.79345774580545736,0.79345774580545736,0.044624739469636056,0.53131661377865114,0.8190836070479538,-7.0209633095787144e-05,NOT_APPLICABLE,NOT_APPLICABLE
SOURCE_WITHIN_CORRECTED_PROJECTED_VARIANCE,1,54,0.72736854509138538,0.96898190980455678,0.92103259622313916,0.92103259622313916,0.035208332327367704,0.34557649405061003,0.89612289187464156,-0.0057670858235797208,NOT_APPLICABLE,NOT_APPLICABLE
TOTAL_PROJECTED_VARIANCE,pooled,108,0.72515171434831893,0.94107370087042053,0.50757342934633654,0.50757342934633654,0.12243799210765206,1.3174451041297375,0.81296164124917525,-0.082154806328429628,0.550364362759269,0.8532569405123909
TOTAL_PROJECTED_VARIANCE,0,54,0.69239565465980546,0.90020897831579327,0.053442251632576765,0.053442251632576765,0.13304384201868621,1.5840631108573437,0.73233288081327608,-0.074951292273023148,NOT_APPLICABLE,NOT_APPLICABLE
TOTAL_PROJECTED_VARIANCE,1,54,0.76352201257861629,0.96318071854428067,0.70275192125838748,0.70275192125838748,0.1118321421966179,1.097653795787318,0.85490269375946482,-0.080822666554912964,NOT_APPLICABLE,NOT_APPLICABLE
SYMMETRIC_TWO_COMPONENT_MIXTURE,pooled,108,0.66512827458616486,0.97084347992199438,0.93640616111732444,0.93640616111732444,0.02952455827493047,0.31768721522891846,0.94043222325596565,-0.0041623262223651385,0.47126426954128764,0.8080395267043423
SYMMETRIC_TWO_COMPONENT_MIXTURE,0,54,0.64356936210027404,0.936077051769033,0.85786775676752969,0.85786775676752969,0.035629939664804933,0.42422161152835069,0.89454000599639361,-0.002772011445102464,NOT_APPLICABLE,NOT_APPLICABLE
SYMMETRIC_TWO_COMPONENT_MIXTURE,1,54,0.67964620896773364,0.98629857459578907,0.97021547329698865,0.97021547329698865,0.023419176885056001,0.22986368585250763,0.96046898714798934,-0.0032957554860675196,NOT_APPLICABLE,NOT_APPLICABLE
UNORDERED_TWO_MEANS_SEPARATION,pooled,108,0.69950555888993682,0.55905677988938451,-0.95615129386810249,0,0.10482890945562771,1.1279696045010934,0.35564737168821176,0.022601387634091086,0.5193337244571141,0.8347310382751708
UNORDERED_TWO_MEANS_SEPARATION,0,54,0.61105393558223742,0.43877404317370244,-2.238732864652746,0,0.11835115443433415,1.4091272096643002,0.24059926019853956,0.035306091947807698,NOT_APPLICABLE,NOT_APPLICABLE
UNORDERED_TWO_MEANS_SEPARATION,1,54,0.77564322469982838,0.63130104343949001,-0.40635260784992111,0,0.091306664476921262,0.89619231890921169,0.43492685797381864,0.017859564727842496,NOT_APPLICABLE,NOT_APPLICABLE
